,list_price.raw,school_district.data,living_area.data,taxes.data,baths.data,city.data,zip.data,elementary_school.data,latitude.data,square_footage.data,middle_school.data,high_school.data,longitude.data,beds.data,street.data
43,695000,Denver 1,"3,559","$2,515",4.0,Denver,80237,Southmoor,39.64758867,"3,559",Hamilton,Thomas Jefferson,-104.91603646,6.0,3730 S Hillcrest Drive
44,695000,Denver 1,"2,082","$3,131",2.0,Denver,80204,Greenlee,39.73633611,"2,082",Compass Academy,West,-105.00178694,2.0,1257 Lipan Street
45,695000,Denver 1,"2,100","$5,976",3.0,Denver,80216,Garden Place,39.78847865,"2,100",McAuliffe International,Manual,-104.98277768,1.0,5060 Logan Street
46,690000,Jefferson County R-1,"2,900","$3,051",3.0,Lakewood,80227,Lasley,39.6793519,"2,900",Alameda Int'l,Alameda Int'l,-105.06327202,3.0,6007 W Pacific Circle
47,689000,Denver 1,"1,459","$2,614",3.0,Denver,80211,Centennial,39.77691415,"1,459",Bryant-Webster,North,-105.03260808,3.0,3439 W 44th Avenue
48,685000,Denver 1,"1,483","$2,692",2.0,Denver,80211,Trevista at Horace Mann,39.76778526,"1,483",Strive Sunnyside,North,-105.00781476,3.0,3646 Quivas Street
49,685000,Denver 1,"3,262","$2,734",3.0,Denver,80207,Bill Roberts E-8,39.74804558,"3,262",Bill Roberts E-8,Northfield,-104.907785,4.0,2030 Oneida Street
50,680000,Jefferson County R-1,"2,170","$2,290",3.0,Lakewood,80227,Westgate,39.6680243,"2,170",Carmody,Bear Creek,-105.08501038,4.0,2690 S Zephyr Court
51,675000,Jefferson County R-1,"1,887","$2,848",3.0,Arvada,80005,Sierra,39.84170841,"1,887",Oberon,Ralston Valley,-105.11191555,4.0,7990 Lee Street
52,675000,Denver 1,"1,896","$2,270",3.0,Denver,80204,Greenlee,39.73133989,"1,896",West Leadership,West,-105.00188364,3.0,943 Lipan Street
53,675000,Denver 1,"2,725","$3,021",4.0,Denver,80230,Lowry,39.72292535,"2,725",Hill,George Washington,-104.87896042,4.0,9271 E 5th Avenue
54,675000,Denver 1,"2,725","$3,021",4.0,Denver,80230,Lowry,39.72294,"2,725",Hill,George Washington,-104.87887,4.0,9271 E 5th Avenue
55,675000,Denver 1,"1,279","$3,074",2.0,Denver,80218,Cole Arts And Science Academy,39.7443417,"1,279",Bruce Randolph,East,-104.9775542,2.0,1755 N Clarkson Street
56,675000,Denver 1,"2,700","$2,994",3.0,Denver,80210,Cory,39.69504694,"2,700",Merrill,South,-104.94163594,4.0,1180 S Harrison Street
57,669900,Denver 1,"1,552","$2,350",2.0,Denver,80220,Palmer,39.73489895,"1,552",Hill,George Washington,-104.92119752,3.0,5720 E 12th Avenue
58,666453,Adams 12 5 Star Schl,"2,548",$1,3.0,Aurora,80019,Other,39.805266,"2,548",Other,Other,-104.756042,3.0,20948 E 60th Place
59,666453,Adams-Arapahoe 28J,"2,548",$483,3.0,Aurora,80019,Vista Peak,39.80611836,"2,548",Vista Peak,Vista Peak,-104.74318754,3.0,20948 E 60th Place
60,665985,Adams-Arapahoe 28J,"3,380",$483,3.0,Aurora,80019,Harmony Ridge P-8,39.80611836,"3,380",Harmony Ridge P-8,Vista Peak,-104.74318754,4.0,20968 E 60th Place
61,665000,Jefferson County R-1,"2,600","$2,444",2.0,Golden,80403,Fairmount,39.77208845,"2,600",Drake,Arvada West,-105.19681298,3.0,4062 Easley Way
62,664541,Adams-Arapahoe 28J,"1,156",$1,3.0,Aurora,80019,Other,39.813031,"1,156",Other,Vista Peak,-104.735112,4.0,21622 E 60th Avenue
63,660000,Denver 1,"1,301","$1,936",2.0,Denver,80210,Asbury,39.67182471,"1,301",Grant,South,-104.96493462,2.0,2466 S High Street
64,652000,Cherry Creek 5,"2,311","$4,122",3.0,Aurora,80015,Indian Ridge,39.61797491,"2,311",Laredo,Smoky Hill,-104.81043861,3.0,5400 S Granby Way
65,650000,Denver 1,"2,176","$2,339",3.0,Denver,80222,Ellis,39.68778644,"2,176",Merrill,South,-104.9345469,5.0,1596 S Clermont Street
66,650000,Denver 1,"1,754","$2,435",3.0,Denver,80205,Columbine,39.75842164,"1,754",DSST: Conservatory Green,East,-104.94715934,3.0,3415 E 29th Avenue
67,650000,Adams-Arapahoe 28J,"4,349","$5,571",4.0,Aurora,80013,Aurora Frontier K-8,39.65775509,"4,349",Aurora Frontier K-8,Vista Peak,-104.73962594,5.0,21291 E Flora Place
68,650000,Denver 1,"2,678","$1,514",3.0,Denver,80231,Joe Shoemaker,39.65960831,"2,678",Hamilton,Thomas Jefferson,-104.86927866,4.0,3296 S Geneva Street
69,650000,Denver 1,"1,459","$1,678",2.0,Denver,80216,Harrington,39.77428259,"1,459",McAuliffe International,Manual,-104.944914,3.0,4120 Monroe Street
70,650000,Denver 1,"1,882","$2,309",2.0,Denver,80222,Ellis,39.68395757,"1,882",Merrill,South,-104.93427536,4.0,4564 E Colorado Avenue
71,650000,Denver 1,"3,056","$2,621",3.0,Denver,80236,Sabin,39.65742697,"3,056",Henry,John F. Kennedy,-105.03975992,5.0,4080 W Floyd Avenue
72,650000,Englewood 1,"3,024","$1,594",3.0,Englewood,80113,Charles Hay,39.66419241,"3,024",Englewood,Englewood,-104.97323837,4.0,2901 S Downing Street
73,650000,Jefferson County R-1,"1,650","$2,638",2.0,Edgewater,80214,Edgewater,39.74926489,"1,650",Jefferson,Jefferson,-105.06591454,4.0,2196 Kendall Street
74,650000,Denver 1,"1,440","$2,633",2.0,Denver,80205,Wyatt,39.75003561,"1,440",Wyatt,East,-104.97672089,3.0,2226 Clarkson Street
75,650000,Denver 1,"2,343","$2,670",3.0,Denver,80237,Samuels,39.64142186,"2,343",Hamilton,Thomas Jefferson,-104.89189673,4.0,4072 S Uinta Street
76,650000,Denver 1,"1,411","$2,589",2.0,Denver,80210,Cory,39.69668777,"1,411",Merrill,South,-104.94439742,3.0,3637 E Mississippi Avenue
77,650000,,,,,Denver,80227,,39.67544339,,,,-105.05362004,,2215 S Sheridan Boulevard
78,649995,Denver 1,"3,019","$2,074",3.0,Denver,80247,Place,39.7040349,"3,019",Place,George Washington,-104.87011108,5.0,10130 New York Place
79,649900,Jefferson County R-1,"1,457","$2,716",2.0,Morrison,80465,Red Rocks,39.65421,"1,457",Carmody,Bear Creek,-105.1955,2.0,103 Bear Creek Lane
80,649900,Jefferson County R-1,"1,457","$2,716",2.0,Morrison,80465,Red Rocks,39.65422013,"1,457",Carmody,Bear Creek,-105.195471,3.0,103 Bear Creek Lane
81,649500,Denver 1,"3,005","$2,396",3.0,Denver,80231,Holm,39.66215918,"3,005",Hamilton,Thomas Jefferson,-104.89985945,5.0,3051 S Rosemary Street
82,649295,Adams 12 5 Star Schl,"2,548",$1,3.0,Aurora,80019,Other,39.80959,"2,548",Other,Other,-104.734504,3.0,6047 N Netherland Court
83,649295,Adams-Arapahoe 28J,"2,548",$483,3.0,Aurora,80019,Vista Peak,39.80567862,"2,548",Vista Peak,Vista Peak,-104.73445401,3.0,6047 N Netherland Court
84,645000,Denver 1,"4,129","$4,388",3.0,Denver,80249,Waller,39.79197818,"4,129",Dr. Martin Luther King,High Tech EC,-104.74559396,4.0,5295 Lisbon Street
85,645000,Jefferson County R-1,"2,240","$2,809",2.0,Wheat Ridge,80033,Kullerstrand,39.77966635,"2,240",Everitt,Wheat Ridge,-105.12040454,4.0,10945 W 45th Avenue
86,645000,Denver 1,"1,574","$2,614",1.0,Denver,80207,Stedman,39.75268508,"1,574",McAuliffe International,East,-104.9331258,2.0,2391 N Dexter Street
