property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice
10013527,2861 S Genoa St,Aurora,CO,80013,3,2.0,1920,2520.0,39.66526,-104.75811,Cherry Creek 5 School District,393000.0
10013568,2881 S Olathe Ct,Aurora,CO,80013,4,3.0,1965,2540.0,39.66349,-104.79249,Adams-Arapahoe 28J School District,411633.33
10013730,2924 S Argonne St,Aurora,CO,80013,3,2.0,1470,2525.0,39.66288,-104.76991,Cherry Creek 5 School District,408000.0
10013730,2924 S Argonne St,Aurora,CO,80013,3,2.0,1470,2610.0,39.66288,-104.76991,Cherry Creek 5 School District,447637.45
10013807,2956 S Jasper St,Aurora,CO,80013,4,2.0,2016,2585.0,39.66266,-104.8055,Adams-Arapahoe 28J School District,421633.33
10031869,3155 S Idalia St,Aurora,CO,80013,4,2.0,1632,2550.0,39.65931,-104.80765,Adams-Arapahoe 28J School District,399402.3
10032464,3336 S Dunkirk Way,Aurora,CO,80013,4,2.0,2328,2550.0,39.6553,-104.7621,Cherry Creek 5 School District,478333.33
10032994,3582 S Olathe St,Aurora,CO,80013,3,2.0,2300,2700.0,39.65202,-104.79438,Cherry Creek 5 School District,385000.0
10033194,3680 S Danube Cir,Aurora,CO,80013,3,3.0,1288,2375.0,39.64944,-104.76285,Cherry Creek 5 School District,303333.33
10033356,3757 S Danube Cir,Aurora,CO,80013,3,3.0,1281,2298.0,39.64854,-104.7631,Cherry Creek 5 School District,366133.7
10033440,3806 S Ouray Way,Aurora,CO,80013,3,2.0,1824,2515.0,39.64712,-104.79167,Cherry Creek 5 School District,432666.33
10033472,2676 E 117th Way,Thornton,CO,80233,4,2.0,2142,2782.0,39.90905,-104.95226,Adams 12 Five Star Schools,468333.33
10033485,5225 E 123rd Ave,Thornton,CO,80241,5,2.0,1792,2685.0,39.91904,-104.92548,Adams 12 Five Star Schools,441633.33
10033487,5305 E 108th Pl,Thornton,CO,80233,4,2.0,1704,2418.0,39.893,-104.92445,Adams 12 Five Star Schools,406333.33
10033650,3884 S Truckee Ct,Aurora,CO,80013,3,2.0,1732,2495.0,39.64293,-104.78044,Cherry Creek 5 School District,404966.67
10042133,4108 S Laredo Way,Aurora,CO,80013,5,3.0,2240,2595.0,39.64186,-104.8008,Cherry Creek 5 School District,393333.33
10042133,4108 S Laredo Way,Aurora,CO,80013,5,3.0,2240,2605.0,39.64186,-104.8008,Cherry Creek 5 School District,406182.5
10042415,4157 S Olathe Way,Aurora,CO,80013,3,2.0,1742,2600.0,39.64136,-104.79427,Cherry Creek 5 School District,406666.67
10042796,4323 Nepal St,Denver,CO,80249,4,2.0,1740,2335.0,39.77612,-104.74077,Denver County 1 School District,363333.33
10042826,4331 S Fundy St,Centennial,CO,80015,4,2.0,1816,2650.0,39.63676,-104.75775,Cherry Creek 5 School District,443298.33
10043355,453 S Nome Way,Aurora,CO,80012,4,2.0,1628,2425.0,39.70764,-104.85356,Cherry Creek 5 School District,384833.33
10043377,4554 S Richfield St,Aurora,CO,80015,3,2.0,1554,2245.0,39.633,-104.78606,Cherry Creek 5 School District,342657.5
10043560,4653 S Buckley Way,Aurora,CO,80015,3,2.0,1170,2176.0,39.63168,-104.79043,Cherry Creek 5 School District,350000.0
10043581,4672 S Kittredge Way,Aurora,CO,80015,3,2.0,1976,2549.0,39.63089,-104.80109,Cherry Creek 5 School District,384800.0
10043692,4752 S Yampa St,Aurora,CO,80015,3,2.0,1689,2544.0,39.62884,-104.77537,Cherry Creek 5 School District,376467.5
10043776,4810 Flanders Way,Denver,CO,80249,4,2.5,1858,2350.0,39.78436,-104.76084,Denver County 1 School District,462966.67
10043791,4814 S Pagosa Way,Aurora,CO,80015,3,2.0,1238,2505.0,39.62868,-104.78937,Cherry Creek 5 School District,414666.67
10047733,5003 S Richfield Cir,Aurora,CO,80015,3,2.0,1238,2350.0,39.62658,-104.7871,Cherry Creek 5 School District,394000.0
10048271,5072 S Himalaya Ct,Aurora,CO,80015,3,3.0,1500,2625.0,39.62423,-104.75255,Cherry Creek 5 School District,474605.0
10048271,5072 S Himalaya Ct,Aurora,CO,80015,3,3.0,1500,2540.0,39.62423,-104.75255,Cherry Creek 5 School District,402600.0
10049641,527 Leona Dr,Denver,CO,80221,3,3.0,1188,2425.0,39.84392,-104.99356,Adams 12 Five Star Schools,471616.67
10049802,5374 S Telluride Way,Centennial,CO,80015,4,2.5,2145,2628.0,39.61956,-104.78224,Cherry Creek 5 School District,463300.0
10049841,5406 Iris St,Arvada,CO,80002,4,2.0,1373,2525.0,39.79535,-105.10547,Jefferson County R-1 School District,498000.0
10050170,5631 W 71st Cir,Arvada,CO,80003,4,2.5,1502,2913.0,39.826,-105.06,Jefferson County R-1 School District,482666.67
10050266,5710 S Quatar Cir,Centennial,CO,80015,3,2.0,1361,2207.0,39.61232,-104.73445,Cherry Creek 5 School District,455800.0
10050357,5798 W 110th Ave,Westminster,CO,80020,4,2.0,1975,2650.0,39.897,-105.061,Jefferson County R-1 School District,508333.33
10057034,6243 Westview Cir,Parker,CO,80134,5,3.0,2364,2737.0,39.4395,-104.77038,Douglas County RE 1 School District,516300.0
10057300,6324 W 92nd Pl,Westminster,CO,80031,4,2.0,1920,2760.0,39.864,-105.067,Jefferson County R-1 School District,404833.33
10062646,2954 S Idalia St,Aurora,CO,80013,4,2.0,1296,2490.0,39.66278,-104.80593,Adams-Arapahoe 28J School District,423266.67
10062651,4139 Orleans St,Denver,CO,80249,2,2.5,1400,2249.0,39.77396,-104.73851,Denver County 1 School District,364716.75
10062657,4926 Fraser Way,Denver,CO,80239,4,3.0,2587,2831.0,39.78129,-104.81126,Denver County 1 School District,431933.33
10062668,4989 S Waco St,Aurora,CO,80015,4,2.0,1548,2400.0,39.62646,-104.77713,Cherry Creek 5 School District,414370.0
10062670,16901 E Eastman Pl,Aurora,CO,80013,3,1.5,1662,2285.0,39.65799,-104.79023,Adams-Arapahoe 28J School District,399657.33
10062676,5008 S Quintero Cir,Aurora,CO,80015,4,2.0,1676,2448.0,39.6264,-104.78731,Cherry Creek 5 School District,304000.0
10062677,11620 Oakland Dr,Henderson,CO,80640,3,1.5,1420,2300.0,39.90825,-104.84968,Brighton 27J School District,376666.67
10062679,9729 Detroit St,Thornton,CO,80229,4,2.0,2022,2550.0,39.87234,-104.95237,Mapleton 1 School District,351600.0
