property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,point_pair,districtMatch,estimatedPrice,annualTaxes,costofMoney,maintenance,ROI,management
10033485,5225 E 123rd Ave,Thornton,CO,80241,5,2.0,1792,2685.0,39.91904,-104.92548,"[-104.92548, 39.91904]",Adams 12 Five Star Schools,440367.45,2642.0,17614.7,4027.5,5358.199999999997,2577.6
10033650,3884 S Truckee Ct,Aurora,CO,80013,3,2.0,1732,2495.0,39.64293,-104.78044,"[-104.78044, 39.64293]",Cherry Creek 5 School District,299910.0,1799.0,11996.4,3742.5,10006.900000000001,2395.2000000000003
10042133,4108 S Laredo Way,Aurora,CO,80013,5,3.0,2240,2726.0,39.64186,-104.8008,"[-104.8008, 39.64186]",Cherry Creek 5 School District,398437.5,2391.0,15937.5,4089.0,7677.540000000001,2616.96
10042415,4157 S Olathe Way,Aurora,CO,80013,3,2.0,1742,2600.0,39.64136,-104.79427,"[-104.79427, 39.64136]",Cherry Creek 5 School District,389970.0,2340.0,15598.8,3900.0,6865.200000000001,2496.0
10042796,4323 Nepal St,Denver,CO,80249,4,2.0,1740,2335.0,39.77612,-104.74077,"[-104.74077, 39.77612]",Denver County 1 School District,383234.95,2299.0,15329.4,3502.5,4647.5,2241.6
10043355,453 S Nome Way,Aurora,CO,80012,4,2.0,1628,2425.0,39.70764,-104.85356,"[-104.85356, 39.70764]",Cherry Creek 5 School District,387692.25,2326.0,15507.69,3637.5,5300.809999999998,2328.0
10043560,4653 S Buckley Way,Aurora,CO,80015,3,2.0,1170,2176.0,39.63168,-104.79043,"[-104.79043, 39.63168]",Cherry Creek 5 School District,350795.0,2105.0,14031.8,3264.0,4622.240000000002,2088.96
10043692,4752 S Yampa St,Aurora,CO,80015,3,2.0,1689,2625.0,39.62884,-104.77537,"[-104.77537, 39.62884]",Cherry Creek 5 School District,377217.5,2263.0,15088.7,3937.5,7690.799999999999,2520.0
10043776,4810 Flanders Way,Denver,CO,80249,3,3.0,1858,2645.0,39.78436,-104.76084,"[-104.76084, 39.78436]",Denver County 1 School District,420049.4,2520.0,16801.98,3967.5,5911.32,2539.2000000000003
10043791,4814 S Pagosa Way,Aurora,CO,80015,3,2.0,1238,2505.0,39.62868,-104.78937,"[-104.78937, 39.62868]",Cherry Creek 5 School District,354190.0,2125.0,14167.6,3757.5,7605.0999999999985,2404.8
10048271,5072 S Himalaya Ct,Aurora,CO,80015,3,3.0,1500,2540.0,39.62423,-104.75255,"[-104.75255, 39.62423]",Cherry Creek 5 School District,447810.0,2687.0,17912.4,3810.0,3632.199999999997,2438.4
10049641,527 Leona Dr,Denver,CO,80221,3,3.0,1188,2485.0,39.84392,-104.99356,"[-104.99356, 39.84392]",Adams 12 Five Star Schools,406887.5,2441.0,16275.5,3727.5,4990.4000000000015,2385.6
10049802,5374 S Telluride Way,Centennial,CO,80015,4,2.5,2145,2628.0,39.61956,-104.78224,"[-104.78224, 39.61956]",Cherry Creek 5 School District,464979.9,2790.0,18599.2,3942.0,3681.9199999999983,2522.88
10050170,5631 W 71st Cir,Arvada,CO,80003,4,2.5,1502,2913.0,39.826,-105.06,"[-105.06, 39.826]",Jefferson County R-1 School District,427329.95,2564.0,17093.2,4369.5,8132.82,2796.48
10050266,5710 S Quatar Cir,Centennial,CO,80015,3,2.0,1361,2207.0,39.61232,-104.73445,"[-104.73445, 39.61232]",Cherry Creek 5 School District,435879.95,2615.0,17435.2,3310.5,1004.5799999999981,2118.7200000000003
10050357,5798 W 110th Ave,Westminster,CO,80020,4,2.0,1975,2650.0,39.897,-105.061,"[-105.061, 39.897]",Jefferson County R-1 School District,471840.0,2831.0,18873.6,3975.0,3576.4000000000015,2544.0
10057300,6324 W 92nd Pl,Westminster,CO,80031,4,2.0,1920,2760.0,39.864,-105.067,"[-105.067, 39.864]",Jefferson County R-1 School District,412069.5,2472.0,16482.78,4140.0,7375.620000000003,2649.6
10062646,2954 S Idalia St,Aurora,CO,80013,4,2.0,1296,2490.0,39.66278,-104.80593,"[-104.80593, 39.66278]",Adams-Arapahoe 28J School District,386755.0,2321.0,15470.2,3735.0,5963.4000000000015,2390.4
10062657,4926 Fraser Way,Denver,CO,80239,4,3.0,2587,3050.0,39.78129,-104.81126,"[-104.81126, 39.78129]",Denver County 1 School District,455625.0,2734.0,18225.0,4575.0,8138.0,2928.0
10062670,16901 E Eastman Pl,Aurora,CO,80013,3,1.5,1662,2285.0,39.65799,-104.79023,"[-104.79023, 39.65799]",Adams-Arapahoe 28J School District,411708.6,2470.0,16468.34,3427.5,2860.5599999999977,2193.6
10062703,12774 E 31st Ave,Aurora,CO,80011,3,2.0,2180,2580.0,39.75939,-104.84033,"[-104.84033, 39.75939]",Adams-Arapahoe 28J School District,395227.25,2371.0,15809.09,3870.0,6433.110000000001,2476.8
