property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,point_pair,districtMatch,estimatedPrice,annualTaxes,costofMoney,maintenance,ROI,management
10066852,8736 Greengrass Way,Parker,CO,80134,3,2.0,1471,2450.0,39.55807,-104.79421,"[-104.79421, 39.55807]",Douglas County RE 1 School District,447630.0,2686.0,17905.2,3675.0,2781.7999999999993,2352.0
10066854,8738 Snowbird Way,Parker,CO,80134,3,3.0,1307,2380.0,39.55829,-104.79605,"[-104.79605, 39.55829]",Douglas County RE 1 School District,443540.0,2661.0,17741.6,3570.0,2302.600000000002,2284.8
10068352,9051 Bermuda Run Cir,Highlands Ranch,CO,80130,3,2.0,1322,2450.0,39.55173,-104.91204,"[-104.91204, 39.55173]",Douglas County RE 1 School District,514735.0,3088.0,20589.4,3675.0,-304.40000000000146,2352.0
10071120,9131 Judson St,Westminster,CO,80031,4,2.0,1800,2605.0,39.86246,-105.02907,"[-105.02907, 39.86246]",Westminster 50 School District,381130.0,2287.0,15245.2,3907.5,7319.5,2500.8
10072754,9434 Brentwood St,Westminster,CO,80021,3,2.0,1915,2615.0,39.87,-105.09,"[-105.09, 39.87]",Jefferson County R-1 School District,450817.45,2705.0,18032.7,3922.5,4209.4000000000015,2510.4
10073279,9731 W 104th Dr,Westminster,CO,80021,3,2.0,1144,2345.0,39.884,-105.107,"[-105.107, 39.884]",Jefferson County R-1 School District,428039.95,2568.0,17121.6,3517.5,2681.7000000000007,2251.2000000000003
10096455,5183 E 119th Way,Thornton,CO,80233,3,2.5,1405,2600.0,39.91292,-104.92692,"[-104.92692, 39.91292]",Adams 12 Five Star Schools,431814.5,2591.0,17272.58,3900.0,4940.419999999998,2496.0
10110154,11039 Grange Creek Dr,Thornton,CO,80233,4,2.0,1885,2845.0,39.89594,-104.92393,"[-104.92393, 39.89594]",Adams 12 Five Star Schools,401148.35,2407.0,16045.93,4267.5,8688.369999999999,2731.2000000000003
10110158,5431 S Genoa St,Centennial,CO,80015,4,3.5,2185,2800.0,39.617647,-104.757882,"[-104.757882, 39.617647]",Cherry Creek 5 School District,507030.0,3042.0,20281.2,4200.0,3388.7999999999993,2688.0
10110559,11062 Wolff Way,Westminster,CO,80031,3,2.5,2142,2845.0,39.8973,-105.04747,"[-105.04747, 39.8973]",Adams 12 Five Star Schools,574850.0,3449.0,22994.0,4267.5,698.3000000000029,2731.2000000000003
10110597,1965 Rosemary St,Denver,CO,80220,3,2.0,1463,2585.0,39.74659,-104.90021,"[-104.90021, 39.74659]",Denver County 1 School District,517700.0,3106.0,20708.0,3877.5,846.9000000000015,2481.6
10111186,3770 S Jebel Way,Aurora,CO,80013,4,2.5,2182,2845.0,39.64782,-104.75018,"[-104.75018, 39.64782]",Cherry Creek 5 School District,440044.95,2640.0,17601.8,4267.5,6899.5,2731.2000000000003
10111591,4797 S Quintero St,Aurora,CO,80015,4,2.5,1585,2525.0,39.62973,-104.78688,"[-104.78688, 39.62973]",Cherry Creek 5 School District,383583.65,2302.0,15343.35,3787.5,6443.1500000000015,2424.0
10111679,3597 S Halifax Way,Aurora,CO,80013,3,2.5,1830,2600.0,39.65118,-104.75496,"[-104.75496, 39.65118]",Cherry Creek 5 School District,418550.0,2511.0,16742.0,3900.0,5551.0,2496.0
10112259,2464 S Gibralter Way,Aurora,CO,80013,3,2.5,1582,2510.0,39.67377,-104.75468,"[-104.75468, 39.67377]",Adams-Arapahoe 28J School District,454985.0,2730.0,18199.4,3765.0,3016.0,2409.6
10112282,6486 S Dexter St,Centennial,CO,80121,5,2.0,2028,2849.0,39.59963,-104.93205,"[-104.93205, 39.59963]",Littleton 6 School District,494510.0,2967.0,19780.4,4273.5,4432.059999999998,2735.04
10112362,12757 S Red Rosa Cir,Parker,CO,80134,3,2.5,2167,2890.0,39.485004,-104.783414,"[-104.783414, 39.485004]",Douglas County RE 1 School District,594790.95,3569.0,23791.64,4335.0,209.95999999999913,2774.4
10115089,10062 Milwaukee St,Thornton,CO,80229,3,2.5,1591,2545.0,39.87842,-104.95208,"[-104.95208, 39.87842]",Mapleton 1 School District,403935.0,2424.0,16157.4,3817.5,5697.9000000000015,2443.2000000000003
10115252,16430 Race St,Thornton,CO,80602,3,3.0,1672,2675.0,39.99459,-104.962,"[-104.962, 39.99459]",Adams 12 Five Star Schools,533739.0,3202.0,21349.56,4012.5,967.9399999999987,2568.0
10115542,5558 S Ireland Way,Centennial,CO,80015,3,2.5,1846,2610.0,39.61577,-104.75141,"[-104.75141, 39.61577]",Cherry Creek 5 School District,429310.0,2576.0,17172.4,3915.0,5151.0,2505.6
10115563,15883 E Bethany Pl,Aurora,CO,80013,5,3.0,1860,2425.0,39.66316,-104.80322,"[-104.80322, 39.66316]",Adams-Arapahoe 28J School District,393190.0,2359.0,15727.6,3637.5,5047.9000000000015,2328.0
