property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
10031869,3155 S Idalia St,Aurora,CO,80013,4,2.0,1632,2550.0,39.65931,-104.80765,Adams-Arapahoe 28J School District,400152.3,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10032464,3336 S Dunkirk Way,Aurora,CO,80013,4,2.0,2328,2550.0,39.6553,-104.7621,Cherry Creek 5 School District,443630.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10032994,3582 S Olathe St,Aurora,CO,80013,3,2.0,2300,2748.0,39.65202,-104.79438,Cherry Creek 5 School District,419682.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10033194,3680 S Danube Cir,Aurora,CO,80013,3,3.0,1288,2375.0,39.64944,-104.76285,Cherry Creek 5 School District,380704.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10033440,3806 S Ouray Way,Aurora,CO,80013,3,2.0,1824,2515.0,39.64712,-104.79167,Cherry Creek 5 School District,421469.95,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10033472,2676 E 117th Way,Thornton,CO,80233,4,2.0,2142,2782.0,39.90905,-104.95226,Adams 12 Five Star Schools,412629.95,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10033485,5225 E 123rd Ave,Thornton,CO,80241,5,2.0,1792,2685.0,39.91904,-104.92548,Adams 12 Five Star Schools,445367.45,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10033487,5305 E 108th Pl,Thornton,CO,80233,4,2.0,1704,2418.0,39.893,-104.92445,Adams 12 Five Star Schools,421090.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10033650,3884 S Truckee Ct,Aurora,CO,80013,3,2.0,1732,2495.0,39.64293,-104.78044,Cherry Creek 5 School District,296660.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10042133,4108 S Laredo Way,Aurora,CO,80013,5,3.0,2240,2595.0,39.64186,-104.8008,Cherry Creek 5 School District,410932.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10042415,4157 S Olathe Way,Aurora,CO,80013,3,2.0,1742,2600.0,39.64136,-104.79427,Cherry Creek 5 School District,391020.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
