property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
10064165,21103 E 45th Ave,Denver,CO,80249,3,2.0,1677,2296.0,39.77863,-104.74134,Denver County 1 School District,375939.4,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10064179,5842 S Orleans Way,Centennial,CO,80015,3,2.0,1431,2500.0,39.61056,-104.73639,Cherry Creek 5 School District,441502.45,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10064180,240 Bonanza Dr,Erie,CO,80516,4,2.5,1997,2915.0,40.00396,-105.03676,St. Vrain Valley RE 1J School District,499895.0,9.26,0.88,3.58,12.23,0.21,0.07,2.97,80.07,11.8
10064195,4509 Andes St,Denver,CO,80249,3,2.5,1650,2460.0,39.77975,-104.77171,Denver County 1 School District,391048.8,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10064210,17306 E Mansfield Ave,Aurora,CO,80013,4,2.0,1569,2675.0,39.64554,-104.78758,Cherry Creek 5 School District,320815.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10064214,5252 E 111th Pl,Thornton,CO,80233,3,2.0,2230,2850.0,39.89775,-104.92555,Adams 12 Five Star Schools,410728.25,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10064246,8485 Prairie Clover Way,Parker,CO,80134,3,2.0,1576,2330.0,39.56301,-104.79547,Douglas County RE 1 School District,387640.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10064269,13115 Mercury Dr,Littleton,CO,80124,3,2.0,1769,2693.0,39.55175,-104.89382,Douglas County RE 1 School District,582160.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10064296,5677 S Oak St,Littleton,CO,80127,4,2.0,1808,2700.0,39.613,-105.12,Jefferson County R-1 School District,496945.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10064325,12386 Roslyn Way,Thornton,CO,80602,3,2.5,4198,3385.0,39.92025,-104.89972,Brighton 27J School District,633074.95,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06
10064326,4558 Biscay St,Denver,CO,80249,3,2.0,1799,2385.0,39.7791,-104.76667,Denver County 1 School District,386880.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10064377,11027 Chesmore St,Highlands Ranch,CO,80130,3,2.5,2626,2925.0,39.51553,-104.94105,Douglas County RE 1 School District,767030.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10064398,22226 E Oberlin Pl,Aurora,CO,80018,3,2.5,2998,2888.0,39.64165,-104.72837,Cherry Creek 5 School District,456465.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10064529,9499 Sherrelwood Ln,Highlands Ranch,CO,80126,4,3.0,2049,2650.0,39.54443,-104.97537,Douglas County RE 1 School District,486865.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10064580,3280 Queen Ct,Broomfield,CO,80020,3,3.0,1739,2525.0,39.92959,-105.02897,Adams 12 Five Star Schools,438640.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10064593,6424 W 115th Ave,Westminster,CO,80020,3,2.0,1344,2199.0,39.90394,-105.06804,Jefferson County R-1 School District,437186.85,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10064613,11303 Haswell Ct,Parker,CO,80134,4,2.5,1687,2595.0,39.51924,-104.78172,Douglas County RE 1 School District,548129.45,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10064617,10820 Utica Ct,Westminster,CO,80031,3,2.0,1509,2550.0,39.89445,-105.04502,Adams 12 Five Star Schools,531820.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10064659,13561 Vallejo St,Westminster,CO,80234,3,2.0,1407,2325.0,39.94125,-105.01434,Adams 12 Five Star Schools,494730.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10064665,12116 Grape St,Thornton,CO,80241,4,3.0,1813,2390.0,39.91627,-104.92404,Adams 12 Five Star Schools,447562.5,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10066638,845 W 101st Pl,Northglenn,CO,80260,3,2.0,900,2100.0,39.88014,-104.9973,Adams 12 Five Star Schools,426099.95,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10066807,8697 W 86th Cir,Arvada,CO,80005,4,2.0,924,2340.0,39.854,-105.09,Jefferson County R-1 School District,342083.65,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10066852,8736 Greengrass Way,Parker,CO,80134,3,2.0,1471,2450.0,39.55807,-104.79421,Douglas County RE 1 School District,443730.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10066854,8738 Snowbird Way,Parker,CO,80134,3,3.0,1307,2380.0,39.55829,-104.79605,Douglas County RE 1 School District,444765.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10066974,8956 W 88th Pl,Westminster,CO,80021,3,1.5,1325,2322.0,39.85753,-105.09709,Jefferson County R-1 School District,333335.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10068352,9051 Bermuda Run Cir,Highlands Ranch,CO,80130,3,2.0,1322,2450.0,39.55173,-104.91204,Douglas County RE 1 School District,507635.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10071120,9131 Judson St,Westminster,CO,80031,4,2.0,1800,2605.0,39.86246,-105.02907,Westminster 50 School District,394129.95,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69
10072754,9434 Brentwood St,Westminster,CO,80021,3,2.0,1915,2615.0,39.87,-105.09,Jefferson County R-1 School District,450817.45,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10073279,9731 W 104th Dr,Westminster,CO,80021,3,2.0,1144,2345.0,39.884,-105.107,Jefferson County R-1 School District,428039.95,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10096018,7025 Zenobia St,Westminster,CO,80030,4,2.0,1904,2831.0,39.82508,-105.05287,Westminster 50 School District,434018.65,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69
10096455,5183 E 119th Way,Thornton,CO,80233,3,2.5,1405,2600.0,39.91292,-104.92692,Adams 12 Five Star Schools,431814.5,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10096530,5120 Troy St,Denver,CO,80239,3,2.0,1864,2596.0,39.78991,-104.84171,Denver County 1 School District,384790.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10110154,11039 Grange Creek Dr,Thornton,CO,80233,4,2.0,1885,2845.0,39.89594,-104.92393,Adams 12 Five Star Schools,409053.35,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10110158,5431 S Genoa St,Centennial,CO,80015,4,3.5,2185,2800.0,39.617647,-104.757882,Cherry Creek 5 School District,504880.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10110559,11062 Wolff Way,Westminster,CO,80031,3,2.5,2142,2845.0,39.8973,-105.04747,Adams 12 Five Star Schools,568305.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10110567,3604 S Flanders St,Aurora,CO,80013,4,2.0,1862,2639.0,39.65063,-104.75707,Cherry Creek 5 School District,419080.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10110597,1965 Rosemary St,Denver,CO,80220,3,2.0,1463,2585.0,39.74659,-104.90021,Denver County 1 School District,485400.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10111186,3770 S Jebel Way,Aurora,CO,80013,4,2.5,2182,2699.0,39.64782,-104.75018,Cherry Creek 5 School District,442894.95,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10111591,4797 S Quintero St,Aurora,CO,80015,4,2.5,1585,2525.0,39.62973,-104.78688,Cherry Creek 5 School District,383583.65,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10111679,3597 S Halifax Way,Aurora,CO,80013,3,2.5,1830,2600.0,39.65118,-104.75496,Cherry Creek 5 School District,422705.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10111927,3663 E 133rd Ct,Thornton,CO,80241,3,2.5,2240,2750.0,39.93676,-104.94433,Adams 12 Five Star Schools,492140.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10112259,2464 S Gibralter Way,Aurora,CO,80013,3,2.5,1582,2510.0,39.67377,-104.75468,Adams-Arapahoe 28J School District,460885.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10112282,6486 S Dexter St,Centennial,CO,80121,5,2.0,2028,2849.0,39.59963,-104.93205,Littleton 6 School District,501260.0,20.79,1.46,2.42,19.47,0.35,0.15,4.69,71.45,-15.7
10112362,12757 S Red Rosa Cir,Parker,CO,80134,3,2.5,2167,2890.0,39.485004,-104.783414,Douglas County RE 1 School District,612211.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10112395,18275 E Bellewood Dr,Aurora,CO,80015,3,3.5,2164,2788.0,39.62502,-104.77515,Cherry Creek 5 School District,402465.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10112548,12831 Billingsley Trl,Parker,CO,80134,4,2.5,1892,2732.0,39.482911,-104.787269,Douglas County RE 1 School District,527645.8,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10115089,10062 Milwaukee St,Thornton,CO,80229,3,2.5,1591,2545.0,39.87842,-104.95208,Mapleton 1 School District,405185.0,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8
10115252,16430 Race St,Thornton,CO,80602,3,3.0,1672,2675.0,39.99459,-104.962,Adams 12 Five Star Schools,544649.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10115542,5558 S Ireland Way,Centennial,CO,80015,3,2.5,1846,2610.0,39.61577,-104.75141,Cherry Creek 5 School District,439560.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10115563,15883 E Bethany Pl,Aurora,CO,80013,5,3.0,1860,2425.0,39.66316,-104.80322,Adams-Arapahoe 28J School District,393565.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
