address,city,zip,beds,baths,sqft,listPrice,taxes,lat,lng,monthly_hoa,districtMatch
10400 W 33rd Place,Wheat Ridge,80033,3.0,3.0,2037,725000,2321,39.76281024,-105.11493779,0.0,Jefferson County R-1 School District
310 Elati Street,Denver,80223,2.0,2.0,1476,725000,2957,39.7212025,-104.99372814,0.0,Denver County 1 School District
244 W Irvington Place,Denver,80223,4.0,3.0,1658,725000,2809,39.71731001,-104.99180075,0.0,Denver County 1 School District
4874 S Routt Street,Littleton,80127,4.0,4.0,3314,724900,3555,39.62825457,-105.12778283,0.0,Jefferson County R-1 School District
920 S Emporia Street,Denver,80247,4.0,4.0,3186,720000,3317,39.69945853,-104.87400415,0.0,Jefferson County R-1 School District
995 S Braun Drive,Lakewood,80228,4.0,3.0,1937,719900,1798,39.69806541,-105.15096275,0.0,Denver County 1 School District
1823 S Downing Street,Denver,80210,4.0,2.0,1650,719900,2841,39.68343167,-104.97380655,0.0,Cherry Creek 5 School District
17004 E Dorado Drive,Centennial,80015,5.0,4.0,3292,719900,3921,39.6135,-104.79002,113.0,Denver County 1 School District
1150 S Forest Street,Denver,80246,4.0,2.0,1588,719000,1866,39.69535085,-104.92550533,0.0,Denver County 1 School District
3121 Fulton Street,Denver,80238,3.0,3.0,1726,715000,5186,39.76146172,-104.87073143,43.0,Cherry Creek 5 School District
7220 E 12th Avenue,Denver,80220,4.0,3.0,2037,715000,2830,39.73541315,-104.90388336,0.0,Cherry Creek 5 School District
6511 W Ohio Avenue,Lakewood,80226,4.0,1.0,1625,715000,2961,39.7024039,-105.06947342,0.0,Adams-Arapahoe 28J School District
1331 Bellaire Street,Denver,80220,4.0,2.0,1753,715000,3232,39.73710114,-104.93757049,0.0,Denver County 1 School District
5838 S Espana Street,Aurora,80015,3.0,3.0,2621,714900,3495,39.60994,-104.76017,27.0,Denver County 1 School District
17758 E Dorado Drive,Centennial,80015,5.0,4.0,3222,710000,2672,39.61202726,-104.78356995,65.0,Jefferson County R-1 School District
21886 E 45th Avenue,Aurora,80019,5.0,4.0,4176,709990,2052,39.77786495,-104.73246604,0.0,Denver County 1 School District
4744 Raleigh Street,Denver,80212,3.0,3.0,1541,700000,1854,39.78290604,-105.04131706,0.0,Denver County 1 School District
660 S Monaco Parkway,Denver,80224,7.0,3.0,3106,700000,2562,39.70461975,-104.91244246,0.0,Jefferson County R-1 School District
8665 W 67th Place,Arvada,80004,5.0,3.0,3355,700000,2062,39.8192257,-105.09363528,0.0,Jefferson County R-1 School District
11 S Logan Street,Denver,80209,3.0,2.0,1284,700000,2686,39.71621812,-104.98287899,0.0,Denver County 1 School District
3325 W 32nd Avenue,Denver,80211,2.0,2.0,1060,700000,2681,39.76224347,-105.03070606,0.0,Jefferson County R-1 School District
2202 Braun Court,Golden,80401,5.0,3.0,2394,700000,3024,39.7517994,-105.14989032,0.0,Jefferson County R-1 School District
642 Deframe,Golden,80401,4.0,3.0,2544,700000,1976,39.72706669,-105.15451698,0.0,Englewood 1 School District
2640 N Monroe Street,Denver,80205,4.0,2.0,1996,699900,2844,39.75524702,-104.94500973,0.0,Denver County 1 School District
7265 W 33rd Avenue,Wheat Ridge,80033,4.0,2.0,1800,699900,1598,39.76369734,-105.07780248,0.0,Jefferson County R-1 School District
8113 Ammons Way,Arvada,80005,4.0,4.0,3119,699900,3204,39.84438,-105.08764,0.0,Jefferson County R-1 School District
573 E Amherst Place,Englewood,80113,4.0,3.0,2256,699900,2369,39.66538119,-104.98082927,0.0,Jefferson County R-1 School District
2625 Oneida Street,Denver,80207,5.0,4.0,2645,699900,2532,39.75541892,-104.90840737,0.0,Jefferson County R-1 School District
2505 S Allison Court,Lakewood,80227,5.0,4.0,3483,699000,3275,39.67130589,-105.08734834,0.0,Denver County 1 School District
2618 S Wadsworth Way,Lakewood,80227,4.0,3.0,2750,699000,2647,39.66834666,-105.08198132,0.0,Denver County 1 School District
6871 Upham Street,Arvada,80003,6.0,3.0,2478,699000,2752,39.82176233,-105.07878136,0.0,Jefferson County R-1 School District
6447 Independence Court,Arvada,80004,4.0,3.0,3080,699000,2747,39.81483017,-105.10521777,0.0,Denver County 1 School District
3586 S Holly Street,Denver,80237,4.0,3.0,2522,699000,2373,39.6507369,-104.92256427,0.0,Adams-Arapahoe 28J School District
6240 E Florida Avenue,Denver,80224,4.0,3.0,2007,698900,1249,39.68917813,-104.91571991,0.0,Jefferson County R-1 School District
4295 S Braun Court,Morrison,80465,3.0,3.0,3033,698900,3226,39.63746468,-105.15176627,10.0,Jefferson County R-1 School District
2800 S Williams Street,Denver,80210,5.0,2.0,2097,698000,2849,39.665897,-104.96628757,0.0,Adams-Arapahoe 28J School District
21612 E 60th Avenue,Aurora,80019,4.0,4.0,3441,697732,1935,39.80820885,-104.75806485,79.0,Denver County 1 School District
13654 W Auburn Avenue,Lakewood,80228,4.0,3.0,2565,695000,2566,39.67398377,-105.15298205,0.0,Denver County 1 School District
10850 W 41st Avenue,Wheat Ridge,80033,4.0,2.0,1829,690000,1737,39.77226672,-105.11976495,0.0,Denver County 1 School District
1151 Revere Street,Aurora,80011,3.0,2.0,2257,690000,2106,39.73411167,-104.84326917,0.0,Denver County 1 School District
4662 S Quitman Street,Denver,80236,4.0,3.0,3437,690000,2135,39.6323382,-105.04234797,0.0,Denver County 1 School District
2601 S Quebec Street Unit 19,Denver,80231,3.0,4.0,3844,690000,1633,39.67050666,-104.90603615,500.0,Denver County 1 School District
2368 E Floyd Place,Englewood,80113,4.0,4.0,2094,690000,2460,39.65580508,-104.9599885,0.0,Jefferson County R-1 School District
2822 S Uinta Street,Denver,80231,3.0,3.0,2771,689970,1701,39.66602352,-104.89326005,0.0,Jefferson County R-1 School District
1011 S Valentia Street Unit 81,Denver,80247,4.0,4.0,3030,689900,2597,39.6986819,-104.89419061,350.0,Cherry Creek 5 School District
4902 W Oxford Avenue,Denver,80237,4.0,3.0,3264,689000,2114,39.64301734,-105.05000048,2.5,Jefferson County R-1 School District
1573 S Lincoln Street,Denver,80210,3.0,2.0,1788,689000,2888,39.68808679,-104.98651751,0.0,Denver County 1 School District
2698 S Depew Place,Lakewood,80227,5.0,3.0,3562,689000,3944,39.66792598,-105.05761536,0.0,Jefferson County R-1 School District
1540 S Pierce Street,Lakewood,80232,6.0,5.0,3512,689000,2016,39.6889329,-105.07179296,0.0,Adams-Arapahoe 28J School District
5705 S Andes Street,Aurora,80015,5.0,3.0,2832,687000,3368,39.61501786,-104.77202067,64.0,Jefferson County R-1 School District
185 Allison Street,Lakewood,80226,3.0,2.0,1983,687000,2636,39.71996428,-105.086048,0.0,Denver County 1 School District
8095 E Lehigh Avenue,Denver,80237,3.0,3.0,2787,685000,1429,39.6474896,-104.89512801,0.0,Denver County 1 School District
3363 Vivian Drive,Wheat Ridge,80033,4.0,3.0,3032,685000,3233,39.76375337,-105.13517229,0.0,Cherry Creek 5 School District
6053 N Nepal Street,Aurora,80019,3.0,3.0,2462,675500,484,39.80659042,-104.74083537,79.0,Jefferson County R-1 School District
8225 W 66 Avenue,Arvada,80004,3.0,2.0,2016,675000,2345,39.81652904,-105.08887446,0.0,Denver County 1 School District
4021 King Street,Denver,80211,2.0,1.0,886,675000,2880,39.77237373,-105.03320022,0.0,Adams-Arapahoe 28J School District
1180 Roslyn Street,Denver,80220,3.0,3.0,1601,675000,2528,39.73533907,-104.90058866,0.0,Adams-Arapahoe 28J School District
5459 S Rifle Street,Centennial,80015,5.0,3.0,3210,675000,3283,39.61729352,-104.78617382,5.0,Jefferson County R-1 School District
4642 Decatur Street,Denver,80211,3.0,2.0,1723,675000,2179,39.78103629,-105.02135385,0.0,Denver County 1 School District
3310 Independence Court,Wheat Ridge,80033,3.0,2.0,2367,675000,2359,39.76318339,-105.10529619,0.0,Jefferson County R-1 School District
1165 Rosemary Street,Denver,80220,4.0,3.0,2527,675000,1811,39.73482098,-104.90015301,0.0,Adams-Arapahoe 28J School District
21554 E 59th Drive,Aurora,80019,4.0,4.0,3269,674632,1935,39.80533989,-104.73519973,79.0,Jefferson County R-1 School District
5021 N Quemoy Court,Aurora,80019,2.0,2.0,1881,674339,9705,39.78619549,-104.73035118,195.0,Adams-Arapahoe 28J School District
2384 S Hoyt Street,Lakewood,80227,4.0,3.0,2670,673000,3157,39.67324342,-105.10213277,0.0,Cherry Creek 5 School District
4960 E Dartmouth Avenue,Denver,80222,3.0,2.0,2330,672000,2215,39.66070433,-104.9297367,0.0,Jefferson County R-1 School District
3965 Miller Street,Wheat Ridge,80033,2.0,2.0,1829,670000,2556,39.77132982,-105.1142568,270.0,Englewood 1 School District
20988 E 60th Place,Aurora,80019,4.0,4.0,3269,669068,484,39.80533989,-104.73519973,79.0,Denver County 1 School District
2610 S Kipling Court,Lakewood,80227,4.0,3.0,3859,667900,3372,39.66825,-105.10998,345.0,Jefferson County R-1 School District
5031 Quemoy Court,Aurora,80019,2.0,2.0,2542,666296,9502,39.786493,-104.730676,195.0,Denver County 1 School District
18927 E Crestridge Circle,Aurora,80015,5.0,4.0,2767,663300,3002,39.61585,-104.76806,65.0,Jefferson County R-1 School District
656 Mc Intyre Street,Golden,80401,4.0,3.0,1835,660000,2767,39.72638845,-105.17446712,0.0,Adams-Arapahoe 28J School District
6453 Kendall Street,Arvada,80003,4.0,3.0,2386,660000,1741,39.81465933,-105.0665484,0.0,Denver County 1 School District
4940 S Elati Street,Englewood,80110,5.0,2.0,2268,659900,1407,39.62687719,-104.9934259,0.0,Denver County 1 School District
1775 Quince Street,Denver,80220,3.0,2.0,1641,655900,2304,39.74510572,-104.90254308,0.0,Jefferson County R-1 School District
5776 W 80th Circle,Arvada,80003,4.0,3.0,3128,655000,3105,39.84203135,-105.06073381,55.0,Denver County 1 School District
8196 E Lehigh Avenue,Denver,80237,5.0,3.0,2454,655000,2253,39.64703281,-104.8938789,0.0,Jefferson County R-1 School District
3092 S Kearney Street,Denver,80222,4.0,3.0,2774,654000,2355,39.66073338,-104.917678,0.0,Jefferson County R-1 School District
7140 N Gladiola,Arvada,80004,4.0,4.0,2757,652000,3008,39.82595745,-105.16273785,0.0,Denver County 1 School District
21721 E 50th Drive,Aurora,80019,3.0,3.0,2542,650531,8716,39.78590007,-104.73389429,185.0,Denver County 1 School District
4350 W Bellewood Drive,Denver,80123,3.0,2.0,2132,650000,2136,39.62819542,-105.04300733,0.0,Englewood 1 School District
2350 S Dahlia Street,Denver,80222,4.0,2.0,2509,650000,4510,39.67346964,-104.93116267,0.0,Jefferson County R-1 School District
21283 E 48th Drive,Denver,80249,4.0,4.0,3783,650000,3164,39.78289833,-104.73954499,0.0,Denver County 1 School District
2010 Zephyr Street,Lakewood,80214,7.0,4.0,3500,650000,2223,39.74774948,-105.08477386,0.0,Denver County 1 School District
11945 W Brandt Place,Littleton,80127,3.0,4.0,3135,650000,3356,39.61527026,-105.13274964,49.0,Cherry Creek 5 School District
623 S Ivy Way,Denver,80224,4.0,3.0,1898,650000,1537,39.70440726,-104.92080434,0.0,Denver County 1 School District
12503 W Hawaii Avenue,Lakewood,80228,5.0,3.0,2624,650000,2499,39.68799673,-105.14042542,0.0,Jefferson County R-1 School District
1835 S Welch Circle,Lakewood,80228,4.0,2.0,2388,650000,1878,39.68545553,-105.14688818,0.0,Englewood 1 School District
5250 Highline Place,Denver,80222,3.0,2.0,1548,650000,2589,39.66012603,-104.92639517,0.0,Jefferson County R-1 School District
1755 S Garfield Street,Denver,80210,3.0,2.0,1670,650000,2940,39.68482345,-104.94447808,0.0,Denver County 1 School District
3336 S Pearl Street,Englewood,80113,3.0,2.0,1858,650000,2224,39.65609193,-104.98021459,0.0,Jefferson County R-1 School District
3710 Ames Street,Wheat Ridge,80212,3.0,2.0,2387,650000,2529,39.7683002,-105.05408375,0.0,Jefferson County R-1 School District
1533 E 29th Avenue,Denver,80205,4.0,1.0,1691,650000,1962,39.75847847,-104.96864027,0.0,Adams-Arapahoe 28J School District
4120 Monroe Street,Denver,80216,3.0,2.0,1459,650000,1678,39.77428259,-104.944914,0.0,Adams-Arapahoe 28J School District
4722 S Biscay Court,Aurora,80015,4.0,3.0,2528,649900,2260,39.63096966,-104.76672446,52.0,Cherry Creek 5 School District
5309 Liverpool Street,Denver,80249,6.0,4.0,4067,649900,4203,39.79233,-104.74468,0.0,Jefferson County R-1 School District
5515 W 73rd Avenue,Westminster,80003,4.0,4.0,2708,649900,2833,39.82930553,-105.05682746,100.0,Denver County 1 School District
4445 S Delaware Street,Englewood,80110,5.0,2.0,1965,649900,1198,39.63572848,-104.99281205,0.0,Adams-Arapahoe 28J School District
559 S Dudley Street,Lakewood,80226,5.0,4.0,2900,649900,2770,39.7058159,-105.09644448,0.0,Denver County 1 School District
4258 Lipan Street,Denver,80211,3.0,2.0,1255,649900,2134,39.77533861,-105.00151256,0.0,Denver County 1 School District
13130 W 31st Avenue,Golden,80401,4.0,3.0,1991,649500,2318,39.76022429,-105.14562481,0.0,Jefferson County R-1 School District
3229 Zinnia Court,Golden,80401,5.0,3.0,2494,649000,3119,39.76204278,-105.14539569,0.0,Adams-Arapahoe 28J School District
21305 E 59th Drive,Aurora,80019,4.0,3.0,2005,648313,8000,39.80660834,-104.73482558,85.0,Denver County 1 School District
21584 E 59th Drive,Aurora,80019,3.0,3.0,2992,647621,1935,39.80356979,-104.73592555,79.0,Denver County 1 School District
15079 E Layton Place,Aurora,80015,4.0,4.0,3680,644900,1810,39.62927561,-104.81256971,0.0,Jefferson County R-1 School District
7013 Quail Street,Arvada,80004,4.0,3.0,3000,644900,2980,39.82506513,-105.12356876,0.0,Adams-Arapahoe 28J School District
1879 S Saint Paul Street,Denver,80210,3.0,2.0,1523,644300,2379,39.68248,-104.95121,0.0,Jefferson County R-1 School District
5042 N Quemoy Street,Aurora,80019,2.0,2.0,1981,644139,9204,39.78701212,-104.73022105,195.0,Denver County 1 School District
4643 S Vrain Street,Denver,80236,3.0,3.0,2085,640000,2128,39.63337477,-105.04672052,0.0,Adams-Arapahoe 28J School District
1120 S Harrison Street,Denver,80210,3.0,2.0,1256,640000,2465,39.69614,-104.941544,0.0,Denver County 1 School District
1972 S Holland Street,Lakewood,80227,3.0,2.0,1860,639900,2105,39.67950763,-105.10230764,2.0833333333333335,Denver County 1 School District
21564 E 59th Drive,Aurora,80019,3.0,3.0,2571,639594,1935,39.80344409,-104.73615096,79.0,Denver County 1 School District
4736 Federal Boulevard,Denver,80211,3.0,2.0,2500,639000,2709,39.78267304,-105.02476314,0.0,Denver County 1 School District
3921 S Uinta Street,Denver,80237,4.0,3.0,1550,639000,1830,39.64556155,-104.89394736,0.0,Denver County 1 School District
7685 Jellison Circle,Arvada,80005,4.0,3.0,2323,638000,3412,39.83654426,-105.108171,0.0,Adams-Arapahoe 28J School District
6034 N Malta Street,Aurora,80019,3.0,3.0,2499,637041,483,39.80633097,-104.74135013,79.0,Denver County 1 School District
5540 W 73rd Avenue,Westminster,80003,3.0,3.0,2413,635000,2590,39.82891419,-105.0571479,100.0,Englewood 1 School District
364 S Kearney Street,Denver,80224,6.0,2.0,2607,634900,1970,39.71030175,-104.91724358,0.0,Denver County 1 School District
6043 N Nepal Street,Aurora,80019,3.0,3.0,2499,630500,484,39.80641378,-104.74084457,79.0,Englewood 1 School District
115 Fox Street,Denver,80223,2.0,2.0,894,630000,1520,39.71875339,-104.99549683,0.0,Jefferson County R-1 School District
7500 E Dartmouth Avenue Unit 26,Denver,80231,3.0,3.0,2389,630000,2212,39.65931508,-104.9000382,325.0,Denver County 1 School District
1462 Rosemary Street,Denver,80220,3.0,2.0,1600,629999,1842,39.73980994,-104.89967371,0.0,Jefferson County R-1 School District
4823 Tejon Street,Denver,80221,3.0,2.0,1959,629900,2080,39.78422379,-105.01154654,0.0,Cherry Creek 5 School District
2779 W 38th Avenue,Denver,80211,3.0,2.0,2598,629900,2507,39.76952528,-105.02257527,0.0,Jefferson County R-1 School District
6802 Martin Luther King Boulevard,Denver,80207,3.0,3.0,790,629000,1832,39.76160225,-104.91022873,0.0,Cherry Creek 5 School District
20717 E Brunswick Place,Aurora,80013,2.0,2.0,1956,629000,5057,39.66492075,-104.74670757,42.0,Jefferson County R-1 School District
2088 S Lincoln Street,Denver,80210,3.0,2.0,1450,629000,2383,39.67872463,-104.98612475,0.0,Cherry Creek 5 School District
705 W Nassau Way,Englewood,80110,4.0,3.0,2816,629000,2339,39.64301928,-104.995,0.0,Westminster 50 School District
1655 S Monaco Parkway,Denver,80224,4.0,3.0,2300,626900,2149,39.68654,-104.91329,0.0,Adams-Arapahoe 28J School District
1106 W Princeton Place,Englewood,80110,3.0,2.0,1661,625000,2051,39.64063429,-105.00057556,0.0,Adams-Arapahoe 28J School District
13366 W Warren Circle,Lakewood,80228,4.0,3.0,2800,625000,3014,39.67533028,-105.1490144,0.0,Adams-Arapahoe 28J School District
1533 E 22nd Avenue,Denver,80205,3.0,2.0,1174,625000,2135,39.74964686,-104.96867811,0.0,Denver County 1 School District
1499 S Iris Street,Lakewood,80232,4.0,4.0,2684,625000,2818,39.68957561,-105.10661536,0.0,Jefferson County R-1 School District
18272 E Ida Drive,Centennial,80015,4.0,3.0,2406,625000,3282,39.60996575,-104.77429846,65.0,Jefferson County R-1 School District
8326 W 71st Place,Arvada,80004,4.0,3.0,2306,624950,1869,39.82616315,-105.08970947,0.0,Denver County 1 School District
5390 S Olathe Circle,Centennial,80015,3.0,4.0,2659,624900,2918,39.61871,-104.79441,62.0,Jefferson County R-1 School District
9475 W 37th Avenue,Wheat Ridge,80033,4.0,3.0,1335,624500,2659,39.76770173,-105.10336817,0.0,Jefferson County R-1 School District
5469 S Shawnee Way,Aurora,80015,3.0,3.0,2417,624300,3680,39.61703,-104.72962,70.0,Denver County 1 School District
4675 W 63rd Place,Arvada,80003,3.0,4.0,2319,624300,3893,39.81248,-105.04758,68.0,Jefferson County R-1 School District
21364 E 59th Drive,Aurora,80019,3.0,3.0,2187,623500,1935,39.80444505,-104.73882457,79.0,Denver County 1 School District
21668 E 61st Dr,Aurora,80019,3.0,3.0,3217,621000,1935,39.80774535,-104.73487384,79.0,Denver County 1 School District
21344 E 59th Drive,Aurora,80019,3.0,3.0,2132,620500,1935,39.80449794,-104.73895905,79.0,Denver County 1 School District
1595 S Steele Street,Denver,80210,2.0,2.0,1080,620000,2394,39.68767938,-104.95138905,0.0,Jefferson County R-1 School District
1895 S Beech Street,Lakewood,80228,3.0,3.0,1846,620000,2776,39.68235628,-105.153871,0.0,Jefferson County R-1 School District
6110 Johnson Way,Arvada,80004,5.0,3.0,2220,619900,2186,39.80908449,-105.1103137,0.0,Adams-Arapahoe 28J School District
19949 E 61st Drive,Aurora,80019,5.0,3.0,2849,619900,842,39.80866782,-104.75489956,30.0,Adams-Arapahoe 28J School District
1420 S Birch Street,Denver,80222,3.0,2.0,1507,619000,2136,39.69072651,-104.9359761,0.0,Cherry Creek 5 School District
735 Cole Drive,Lakewood,80401,3.0,3.0,1824,616000,2192,39.72774469,-105.15160525,0.0,Denver County 1 School District
10009 W 60th Avenue,Arvada,80004,5.0,3.0,2516,615000,1493,39.80603349,-105.11026173,0.0,Denver County 1 School District
49 W Alameda Avenue,Denver,80223,3.0,2.0,1407,615000,2543,39.71140352,-104.98884109,0.0,Adams-Arapahoe 28J School District
12033 W Maryland Drive,Lakewood,80228,2.0,2.0,2210,615000,1832,39.69246503,-105.1293446,0.0,Denver County 1 School District
7900 E Dartmouth Avenue Unit 40,Denver,80231,3.0,3.0,2330,615000,2332,39.65932504,-104.89792961,325.0,Denver County 1 School District
3430 Dexter Street,Denver,80207,4.0,2.0,1969,615000,2448,39.76506341,-104.93287253,0.0,Denver County 1 School District
5472 Tamarac Way,Denver,80238,3.0,3.0,1666,610000,4593,39.79585905,-104.89484456,43.0,Jefferson County R-1 School District
7943 W 62nd Way,Arvada,80004,4.0,3.0,3151,610000,3311,39.81065087,-105.08500872,0.0,Denver County 1 School District
13937 W Baker Place,Lakewood,80228,3.0,2.0,1918,609000,2441,39.6718946,-105.15588281,0.0,Denver County 1 School District
6045 N Nepal Street,Aurora,80019,3.0,3.0,2759,609000,484,39.80651182,-104.74091206,79.0,Jefferson County R-1 School District
2807 S Lisbon Way,Aurora,80013,3.0,3.0,2130,603000,4906,39.66642474,-104.74927549,42.0,Jefferson County R-1 School District
21577 E Mansfield Drive,Aurora,80013,5.0,3.0,3950,600000,4634,39.64569599,-104.73652858,50.333333333333336,Jefferson County R-1 School District
21498 E Mansfield Place,Aurora,80013,3.0,2.0,2471,600000,3682,39.64452914,-104.73706846,50.333333333333336,Jefferson County R-1 School District
3425 S Grape Street,Denver,80222,3.0,2.0,1300,600000,2116,39.65436372,-104.92516971,0.0,Denver County 1 School District
4459 S Xavier Street,Denver,80236,3.0,3.0,1752,600000,1737,39.63650626,-105.05086,0.0,Jefferson County R-1 School District
3011 S Jericho Way,Aurora,80013,4.0,3.0,2310,600000,4681,39.66280627,-104.75214654,41.0,Jefferson County R-1 School District
1056 S Pennsylvania Street,Denver,80209,2.0,1.0,1019,600000,2513,39.69749,-104.98128,0.0,Denver County 1 School District
4699 E Bails Place,Denver,80222,6.0,2.0,2000,600000,2052,39.68299504,-104.93252673,0.0,Cherry Creek 5 School District
3695 Elm Street,Denver,80207,3.0,2.0,1316,600000,1684,39.76822871,-104.92964718,0.0,Denver County 1 School District
2486 Ingalls Street,Edgewater,80214,3.0,2.0,1239,600000,2481,39.75272519,-105.0634886,0.0,Jefferson County R-1 School District
2632 N Marion Street,Denver,80205,3.0,2.0,1429,600000,2809,39.7552015,-104.97183001,0.0,Denver County 1 School District
75 S Knox Court,Denver,80219,3.0,3.0,1552,599999,1337,39.71512197,-105.03279954,0.0,Jefferson County R-1 School District
5295 S Cody Street,Littleton,80123,2.0,2.0,1474,599999,1816,39.61908768,-105.09446536,66.25,Denver County 1 School District
9135 W 5th Place,Lakewood,80226,6.0,3.0,1456,599999,2400,39.72420165,-105.09970168,0.0,Denver County 1 School District
