Unnamed: 0,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,elementarySchool,middleSchool,highSchool,yearly_hoa,costofMoney,districtMatch,RentperSqFt,market_rent,maintenance,management,ROI,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
66,4956 W 38th Avenue,Denver,80212,2.0,2.0,1600,715000,2400,0,N/A,39.76906891,-105.05040267,Edison,Strive Sunnyside,North,0,28600.0,Denver County 1 School District,1.46,2336.0,3504.0,2242.56,-8714.56,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
67,8090 Johnson Court,Arvada,80005,4.0,3.0,2564,714999,2042,0,N/A,39.84465343,-105.10876546,Weber,Moore,Pomona,0,28599.96,Jefferson County R-1 School District,1.61,4128.04,6192.0599999999995,3962.9183999999996,8739.54,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
68,4378 S Malaya Way,Aurora,80013,4.0,4.0,3192,714829,0,80,Monthly,39.6366318,-104.74256116,Mountain Vista,Sky Vista,Eaglecrest,960,28593.16,Cherry Creek 5 School District,1.45,4628.4,6942.599999999999,4443.264,14601.78,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
69,22120 E Tufts Circle,Aurora,80015,3.0,3.0,2498,714582,0,80,Monthly,39.63233445,-104.73097746,Mountain Vista,Sky Vista,Eaglecrest,960,28583.28,Cherry Creek 5 School District,1.45,3622.1,5433.15,3477.216,5011.55,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
70,1789 S Quail Street,Lakewood,80232,4.0,3.0,2508,709900,2244,0,N/A,39.68404007,-105.12463625,Kendrick Lakes,Carmody,Bear Creek,0,28396.0,Jefferson County R-1 School District,1.61,4037.88,6056.82,3876.3648,7881.38,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
71,7717 W 9th Avenue,Lakewood,80214,4.0,2.0,820,700000,2478,0,N/A,39.73140891,-105.08418491,Eiber,Creighton,Lakewood,0,28000.0,Jefferson County R-1 School District,1.61,1320.2,1980.3000000000002,1267.392,-17883.29,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
72,3505 Holland Street,Wheat Ridge,80033,3.0,3.0,2686,700000,2495,0,N/A,39.76579817,-105.10227052,Wilmore-Davis,Everitt,Wheat Ridge,0,28000.0,Jefferson County R-1 School District,1.61,4324.46,6486.6900000000005,4151.4816,10760.35,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
73,185 Allison Street,Lakewood,80226,3.0,2.0,1983,700000,2636,0,N/A,39.71996428,-105.086048,South Lakewood,Creighton,Lakewood,0,28000.0,Jefferson County R-1 School District,1.61,3192.63,4788.945,3064.9248,-178.31,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
74,2315 Creighton Drive,Golden,80401,4.0,3.0,2494,700000,3009,0,N/A,39.75232961,-105.15350843,Maple Grove,Everitt,Golden,0,28000.0,Jefferson County R-1 School District,1.61,4015.34,6023.01,3854.7264,7297.34,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
75,1015 Cody Street,Lakewood,80215,3.0,2.0,2550,700000,2768,0,N/A,39.73337112,-105.09276157,Eiber,Creighton,Lakewood,0,28000.0,Jefferson County R-1 School District,1.61,4105.5,6158.25,3941.28,8398.47,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
76,475 Colorado Boulevard,Denver,80206,5.0,2.0,2976,700000,2792,0,N/A,39.72394496,-104.9409902,Steck,Hill,George Washington,0,28000.0,Denver County 1 School District,1.46,4344.96,6517.4400000000005,4171.1616,10658.92,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
