address,city,zipcode,beds,baths,sqft,value,taxes,lat,lng,monthly_hoa,districtMatch,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement,"Median household income (in 2019 dollars), 2015-2019",beds_3,beds_4,beds_5,baths_2,baths_3,baths_4
1340 S Washington Street,Denver,80210,3,3,2538,745000,3241,39.69210836,-104.9788276,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
1995 W 67th Place,Denver,80221,3,3,2331,740300,6229,39.81911,-105.01126,72.0,Mapleton 1 School District,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8,68592.0,1,0,0,0,1,0
3050 S Roslyn Street,Denver,80231,4,3,3525,740000,1493,39.66192331,-104.90042725,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
968 N Corona Street,Denver,80218,4,2,1850,739000,1104,39.731553,-104.9737607,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
3267 S Holly Street,Denver,80222,4,3,2112,735000,1892,39.65713016,-104.92336236,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
717 E 23rd Avenue,Denver,80205,4,2,2049,735000,2660,39.75089533,-104.97764481,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
3900 Vallejo Street,Denver,80211,2,2,2088,735000,2833,39.77066732,-105.0133029,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,1,0,0
1525 Holly Street,Denver,80220,3,2,1921,730000,2633,39.74073427,-104.922587,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
3547 S Ivanhoe Street,Denver,80237,5,4,3269,729819,2919,39.65166941,-104.92211894,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,1,0,0,1
125 E Florida Avenue,Denver,80210,3,2,1342,729000,1971,39.68954813,-104.98563837,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
141 W 1st Avenue,Denver,80223,3,2,1928,725000,3183,39.71863368,-104.99030033,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
310 Elati Street,Denver,80223,2,2,1476,725000,2957,39.7212025,-104.99372814,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,1,0,0
244 W Irvington Place,Denver,80223,4,3,1658,725000,2809,39.71731001,-104.99180075,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
