address,city,zipcode,beds,baths,sqft,value,taxes,lat,lng,monthly_hoa,districtMatch,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement,"Median household income (in 2019 dollars), 2015-2019",beds_3,beds_4,beds_5,baths_2,baths_3,baths_4
1690 Spruce Street,Denver,80220,4,2,1672,590000,2050,39.74363597,-104.89731887,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,0,1,0,1,0,0
3511 N Steele Street,Denver,80205,3,2,1523,590000,2355,39.7659835,-104.95025745,0.0,Sheridan 2 School District,88.49,3.6,1.44,75.5,2.01,0.16,3.14,14.15,-51.0,68592.0,1,0,0,1,0,0
6921 E Vassar Avenue,Denver,80224,5,3,2527,585000,1795,39.66985938,-104.90671409,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,1,0,1,0
4835 Vallejo Street,Denver,80221,3,2,1597,584500,1735,39.7845252,-105.01382096,0.0,Adams County 14 School District,83.17,2.39,0.14,85.35,0.46,0.13,1.01,10.52,-5.56,68592.0,1,0,0,1,0,0
3140 Sheridan Boulevard,Denver,80214,5,3,2555,584000,2433,39.76194317,-105.05301756,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,1,0,1,0
2857 S Zenobia Street,Denver,80236,5,2,2083,579000,2038,39.663914,-105.051454,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,1,1,0,0
2760 S Perry Street,Denver,80236,4,2,2443,575000,2098,39.66553,-105.03976,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,1,0,0
2760 S Perry Street,Denver,80236,4,2,2443,575000,2098,39.66552786,-105.039767,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
670 S Raritan Street,Denver,80223,4,2,1739,575000,1822,39.70414198,-105.00834764,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,0,1,0,1,0,0
6461 N Ceylon Street,Denver,80249,4,3,1949,574710,6000,39.81495702,-104.76479339,39.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,0,1,0
3720 Martin Luther King Boulevard,Denver,80205,4,2,1585,569900,1766,39.76137442,-104.94359548,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,0,1,0,1,0,0
1453 Rosemary Street,Denver,80220,3,2,1685,569000,2138,39.73970232,-104.90024436,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,1,0,0
1021 Quebec Street,Denver,80220,3,2,1680,569000,2079,39.73162241,-104.90315946,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
3690 Dahlia Street,Denver,80207,5,3,2067,565500,1781,39.76880293,-104.93130269,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,1,0,1,0
3421 N Harrison Street,Denver,80205,4,2,1938,560000,2356,39.76491392,-104.94205346,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
3085 Wilson Court,Denver,80205,2,2,1400,560000,1641,39.76064107,-104.94707408,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,1,0,0
1870 W Beekman Place,Denver,80221,3,2,1282,559900,1676,39.78839308,-105.00964325,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
2755 S Utica Street,Denver,80236,3,2,1735,559000,1781,39.6664712,-105.04510136,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
81 N Sherman Street,Denver,80203,3,1,1246,550000,2767,39.71801925,-104.98525921,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,0,0
18755 Robins Drive,Denver,80249,3,3,2563,550000,4402,39.797172,-104.76885927,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
3280 S Lowell Boulevard,Denver,80236,5,2,1820,549900,1873,39.65938602,-105.03484976,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,1,1,0,0
3803 W Girard Avenue,Denver,80236,5,2,2230,549900,1920,39.6574842,-105.03664682,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,1,1,0,0
3659 Jason Street,Denver,80211,3,1,1187,548900,2255,39.76794668,-104.99982217,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
4582 E Bails Place,Denver,80222,4,2,868,545000,2008,39.68264231,-104.93287394,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
1310 Magnolia Street,Denver,80220,2,1,984,545000,2066,39.73760014,-104.91135246,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,0,0,0
4860 Eliot Street,Denver,80221,3,1,1111,539400,1459,39.78495582,-105.02373088,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,0,0
2000 S Stuart Street,Denver,80219,4,3,2154,539000,1905,39.68093819,-105.0430231,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,0,1,0
3501 W 53rd Avenue,Denver,80221,4,2,2599,539000,4111,39.79314988,-105.03331657,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,0,1,0,1,0,0
1000 S Tejon Street,Denver,80223,4,2,2078,538888,1902,39.6979986,-105.01247349,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,1,0,0
743 S Quivas Street,Denver,80223,3,2,1323,535900,1733,39.70312579,-105.00772781,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,1,0,0
408 S Locust Street,Denver,80224,3,2,1816,535000,1861,39.70905526,-104.91385362,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
1765 W Florida,Denver,80223,3,2,1113,535000,1350,39.68953118,-105.00821682,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
4675 E Iliff Avenue,Denver,80222,3,2,1380,535000,1960,39.67502712,-104.93339473,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
2703 S Stuart Street,Denver,80236,3,3,2396,530000,2040,39.66745195,-105.04312182,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,1,0
20472 E 53rd Avenue,Denver,80249,2,3,2188,530000,3784,39.791726,-104.749929,90.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,0,0,1,0
2680 W 66th Place,Denver,80221,4,3,2000,530000,2516,39.81688067,-105.02038829,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,0,1,0
9661 W Dumbarton Place,Denver,80123,3,3,2117,530000,1948,39.62694829,-105.106755,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
3002 S Holly Place,Denver,80222,3,2,1323,525000,2782,39.66426324,-104.91847933,0.0,Westminster 50 School District,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,68592.0,1,0,0,1,0,0
5420 Perth Street,Denver,80249,4,3,2732,525000,3477,39.79511214,-104.73586404,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
4913 S Field Court,Denver,80123,3,2,1567,525000,1978,39.62691342,-105.10017682,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,1,0,0
5503 Espana Street,Denver,80249,3,3,2802,525000,6319,39.79436463,-104.76034742,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,0,1,0
880 Irving Street,Denver,80204,4,2,1681,525000,1699,39.73083742,-105.0295961,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,1,0,0
2910 Pontiac Street,Denver,80207,2,2,1000,525000,1550,39.75864626,-104.90536512,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,1,0,0
1163 S Shoshone Street,Denver,80223,3,3,1020,524900,1638,39.69563047,-105.01098181,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
3862 N Madison Street,Denver,80205,3,2,955,524000,1035,39.77030342,-104.94611109,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
2424 N Clay Street,Denver,80211,2,1,815,519000,1909,39.75294132,-105.02016354,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,0,0,0
3415 Arapahoe Street,Denver,80205,2,1,823,515000,1852,39.76506363,-104.97381836,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,0,0,0
3045 S Fairfax Street,Denver,80222,3,2,1365,515000,1906,39.66301377,-104.9287971,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
740 Julian Street,Denver,80204,3,2,1216,510000,1819,39.72852318,-105.03099449,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
7574 Heather Place,Denver,80221,3,3,1866,510000,2120,39.83412,-105.0166,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,1,0
2826 S Glencoe Street,Denver,80222,3,1,1224,509000,2124,39.66598928,-104.926596,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
2660 S High Street,Denver,80210,2,1,1112,500000,1727,39.66830945,-104.96495347,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,0,0,0,0
3025 S Ingalls Way,Denver,80227,4,3,2048,500000,2095,39.65999081,-105.0642621,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,0,1,0,0,1,0
5200 E 12th Avenue,Denver,80220,3,1,903,500000,2140,39.73454637,-104.92662067,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
2701 W Yale Avenue,Denver,80219,3,2,1077,500000,1960,39.66717638,-105.02046042,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
1885 S Patton Court,Denver,80219,3,2,2219,500000,1881,39.68243128,-105.038518,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
3841 N Harrison Street,Denver,80205,3,2,1336,499900,2023,39.7699135,-104.94193541,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,1,0,0
3220 W Nevada Place,Denver,80219,5,4,2266,499900,2020,39.7100826,-105.02942137,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,1,0,0,1
565 S Dale Court,Denver,80219,3,2,1602,499899,1338,39.70623197,-105.02186005,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
1332 Poplar Street,Denver,80220,2,1,1092,499000,2118,39.73806326,-104.90431101,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,0,0,0,0
1350 Lipan Street,Denver,80204,3,1,1361,499000,2016,39.73801512,-105.0017549,0.0,Englewood 1 School District,61.99,2.94,1.12,40.56,0.27,0.41,5.03,49.69,-26.38,68592.0,1,0,0,0,0,0
3442 S Patton Way,Denver,80236,5,3,2267,497900,1271,39.65492157,-105.03972888,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,1,0,1,0
4027 W 44th Avenue,Denver,80212,3,1,796,497500,2080,39.77680757,-105.03995527,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,0,0
2460 S Osceola Street,Denver,80219,2,1,1041,495000,1772,39.67331912,-105.03748803,0.0,Westminster 50 School District,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,68592.0,0,0,0,0,0,0
8103 Conifer Road,Denver,80221,4,3,2860,495000,2728,39.8437099,-104.99187753,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
5168 Tennyson Street,Denver,80212,2,1,1350,495000,2100,39.79052182,-105.04354326,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,0,0,0
6825 Martin Luther King Boulevard,Denver,80207,4,2,1934,494999,1152,39.76218901,-104.9085009,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,1,0,0
9644 W Grand Avenue,Denver,80123,2,2,1695,492000,1942,39.62583929,-105.106106,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,1,0,0
3400 W Jewell Avenue,Denver,80219,2,1,1106,490000,1476,39.68200602,-105.03112327,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,0,0,0
2 Zenobia Street,Denver,80219,3,1,1642,489900,1687,39.71681663,-105.05156143,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
505 S Raleigh Street,Denver,80219,4,2,1826,489500,1683,39.70775576,-105.04225629,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
19389 E 41st Place,Denver,80249,3,2,1826,485000,1499,39.77441449,-104.7604495,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,1,0,0
4665 Milwaukee Street,Denver,80216,4,2,1623,485000,1446,39.78151071,-104.95208581,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
1821 S Irving Street,Denver,80219,5,2,2074,485000,1600,39.68441234,-105.03006441,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,1,1,0,0
2561 W Cornell Avenue,Denver,80236,5,2,2027,480000,1695,39.66101553,-105.01758805,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,1,1,0,0
815 S Umatilla Way,Denver,80223,3,1,1526,475000,1756,39.70171957,-105.01244891,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,0,0,0
2425 W Bates Avenue,Denver,80236,3,2,2022,475000,1692,39.66393828,-105.01631753,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,1,0,0
5077 Duluth Court,Denver,80239,4,4,2482,475000,2205,39.78535128,-104.82006164,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,0,0,1
680 S Quivas Street,Denver,80223,3,1,1302,475000,1711,39.70413028,-105.007114,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
647 Winona Court,Denver,80204,5,2,2200,474970,1196,39.72754487,-105.04787097,0.0,Adams 12 Five Star Schools,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4,68592.0,0,0,1,1,0,0
2525 W Wesley Avenue,Denver,80219,2,2,1142,474500,2840,39.67367783,-105.01731882,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,1,0,0
215 S Knox Court,Denver,80219,3,1,1307,466000,1471,39.71295639,-105.03267525,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
16010 E 55th Avenue,Denver,80239,3,3,2040,465000,1895,39.79435001,-104.80006746,40.0,Westminster 50 School District,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,68592.0,1,0,0,0,1,0
2644 S Newton Street,Denver,80219,3,1,1383,460000,2068,39.66915382,-105.0365277,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,0,0,0
3065 Holly Street,Denver,80207,2,2,1234,460000,1407,39.76144394,-104.92261136,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,0,1,0,0
7733 Navajo Street,Denver,80221,3,2,1808,460000,1951,39.83670505,-105.00452197,0.0,Westminster 50 School District,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,68592.0,1,0,0,1,0,0
627 W Asbury Avenue,Denver,80223,2,1,616,459999,1067,39.68073396,-104.99555527,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,0,0,0
3902 Jason Street,Denver,80211,2,1,749,459900,1424,39.77062645,-104.99890587,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,0,0,0
812 Raleigh Street,Denver,80204,3,1,836,456900,1573,39.72962188,-105.04129718,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,0,0
2627 S Lowell Boulevard,Denver,80219,4,2,1210,450000,1669,39.6696813,-105.03524613,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,1,0,1,0,0
361 El Paso Court,Denver,80221,4,3,2850,450000,2341,39.84051471,-104.99166873,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
4206 W Vassar Avenue,Denver,80219,3,2,1115,450000,1754,39.66990575,-105.04198,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
1465 S King Court,Denver,80219,4,2,1804,450000,1544,39.69002399,-105.03398863,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
4175 W Custer Place,Denver,80219,4,2,1628,449000,1466,39.70702612,-105.04290062,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,1,0,1,0,0
1284 Ember Street,Denver,80221,4,2,1850,445000,1767,39.83816524,-105.00110973,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
1065 S Osceola Street,Denver,80219,3,2,1281,445000,1574,39.69731954,-105.03802744,0.0,Westminster 50 School District,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,68592.0,1,0,0,1,0,0
7861 Valley View Drive,Denver,80221,3,3,2461,444000,2116,39.83951351,-105.02192862,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,0,1,0
450 S Decatur Street,Denver,80219,2,1,2002,444000,1691,39.70833849,-105.02243843,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,0,0,0
2590 S Irving Street,Denver,80219,4,1,1115,441875,1586,39.67132138,-105.02951246,0.0,Englewood 1 School District,61.99,2.94,1.12,40.56,0.27,0.41,5.03,49.69,-26.38,68592.0,0,1,0,0,0,0
4619 Pennsylvania Street,Denver,80216,4,1,660,440000,1410,39.78053226,-104.98140569,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,1,0,0,0,0
931 Downing Way,Denver,80229,3,3,2117,440000,1882,39.84162114,-104.97610285,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
26 S King Street,Denver,80219,3,2,1067,440000,1521,39.71595567,-105.03340076,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
5001 Titan Way,Denver,80239,3,2,1762,435000,1594,39.787599,-104.8390548,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
1338 W Alaska Place,Denver,80223,4,1,1339,434900,1719,39.70823994,-105.00594888,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,0,0
5181 Decatur Street,Denver,80221,2,1,791,430000,1517,39.79077163,-105.02190229,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,0,0,0
3081 S Glencoe Street,Denver,80222,3,1,858,429000,1632,39.66213156,-104.92514451,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
1224 Valentia Street,Denver,80220,3,1,1500,428000,1560,39.73617988,-104.89130041,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,0,0
5538 Tulsa Way,Denver,80239,4,2,1726,425000,1618,39.79451205,-104.83642688,0.0,Englewood 1 School District,61.99,2.94,1.12,40.56,0.27,0.41,5.03,49.69,-26.38,68592.0,0,1,0,1,0,0
2121 W 80th Avenue,Denver,80221,3,3,1944,425000,1833,39.84192939,-105.01268365,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
1140 S Tennyson Street,Denver,80219,2,1,770,425000,1457,39.69590453,-105.04345819,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,0,0,0,0
398 S Raleigh Street,Denver,80219,4,2,2148,425000,1563,39.70959264,-105.04186566,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
1235 Wabash Street,Denver,80220,2,1,726,420000,1556,39.73620971,-104.88967922,0.0,Westminster 50 School District,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69,68592.0,0,0,0,0,0,0
5403 Tucson Street,Denver,80239,3,3,2430,416000,1038,39.79267627,-104.840239,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
780 Cuchara Street,Denver,80221,4,2,1950,415000,1488,39.83154712,-104.99660679,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,1,0,1,0,0
4842 Steele Street,Denver,80216,3,2,1320,415000,1272,39.78451528,-104.94940189,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,1,0,0
5551 Worchester Street,Denver,80239,4,2,1596,410000,1534,39.79827044,-104.8309865,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,1,0,1,0,0
3894 Orleans Court,Denver,80249,2,3,1143,410000,1992,39.77029545,-104.73723284,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,0,0,1,0
3215 W Exposition Avenue,Denver,80219,3,1,1060,409000,1158,39.7041863,-105.02870924,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
4380 Jericho Street,Denver,80249,3,1,1138,400000,1966,39.77705048,-104.74876556,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,0,0
5238 Stuart Street,Denver,80212,2,1,792,400000,2419,39.79212461,-105.04249836,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,0,0,0
670 S Hazel Court,Denver,80219,3,1,1061,399990,1342,39.70455851,-105.0273658,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
