,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,district,elementarySchool,middleSchool,highSchool
151,559 S Dudley Street,Lakewood,80226,5.0,4.0,"2,900",649900,"$2,770",$0,N/A,39.7058159,-105.09644448,Jefferson County R-1,Belmar,Creighton,Lakewood
152,4258 Lipan Street,Denver,80211,3.0,2.0,"1,255",649900,"$2,134",$0,N/A,39.77533861,-105.00151256,Denver 1,Trevista at Horace Mann,Skinner,North
153,13130 W 31st Avenue,Golden,80401,4.0,3.0,"1,991",649500,"$2,318",$0,N/A,39.76022429,-105.14562481,Jefferson County R-1,Maple Grove,Everitt,Golden
154,3229 Zinnia Court,Golden,80401,5.0,3.0,"2,494",649000,"$3,119",$0,N/A,39.76204278,-105.14539569,Jefferson County R-1,Maple Grove,Everitt,Golden
156,21305 E 59th Drive,Aurora,80019,4.0,3.0,"2,005",648313,"$8,000",$85,Monthly,39.80660834,-104.73482558,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
157,21584 E 59th Drive,Aurora,80019,3.0,3.0,"2,992",647621,"$1,935",$79,Monthly,39.80356979,-104.73592555,Adams-Arapahoe 28J,Harmony Ridge P-8,Harmony Ridge P-8,Vista Peak
158,15079 E Layton Place,Aurora,80015,4.0,4.0,"3,680",644900,"$1,810",$0,N/A,39.62927561,-104.81256971,Cherry Creek 5,Sagebrush,Laredo,Smoky Hill
159,7013 Quail Street,Arvada,80004,4.0,3.0,"3,000",644900,"$2,980",$0,N/A,39.82506513,-105.12356876,Jefferson County R-1,Campbell,Oberon,Arvada West
160,1879 S Saint Paul Street,Denver,80210,3.0,2.0,"1,523",644300,"$2,379",$0,N/A,39.68248,-104.95121,Denver 1,University Park,Merrill,South
161,5042 N Quemoy Street,Aurora,80019,2.0,2.0,"1,981",644139,"$9,204",$195,Monthly,39.78701212,-104.73022105,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
162,4643 S Vrain Street,Denver,80236,3.0,3.0,"2,085",640000,"$2,128",$0,N/A,39.63337477,-105.04672052,Denver 1,Kaiser,Strive Federal,John F. Kennedy
163,1120 S Harrison Street,Denver,80210,3.0,2.0,"1,256",640000,"$2,465",$0,N/A,39.69614,-104.941544,Denver 1,Cory,Merrill,South
164,1972 S Holland Street,Lakewood,80227,3.0,2.0,"1,860",639900,"$2,105",$25,Annually,39.67950763,-105.10230764,Jefferson County R-1,Green Gables,Carmody,Bear Creek
165,21564 E 59th Drive,Aurora,80019,3.0,3.0,"2,571",639594,"$1,935",$79,Monthly,39.80344409,-104.73615096,Adams-Arapahoe 28J,Harmony Ridge P-8,Harmony Ridge P-8,Vista Peak
166,4736 Federal Boulevard,Denver,80211,3.0,2.0,"2,500",639000,"$2,709",$0,N/A,39.78267304,-105.02476314,Denver 1,Trevista at Horace Mann,Bryant-Webster,North
167,3921 S Uinta Street,Denver,80237,4.0,3.0,"1,550",639000,"$1,830",$0,N/A,39.64556155,-104.89394736,Denver 1,Samuels,Hamilton,Thomas Jefferson
168,4453 S Nepal Court,Aurora,80015,3.0,3.0,"2,193",638896,$0,$375,Semi-Annually,39.63618888,-104.74083729,Cherry Creek 5,Aspen Crossing,Sky Vista,Eaglecrest
169,7685 Jellison Circle,Arvada,80005,4.0,3.0,"2,323",638000,"$3,412",$0,N/A,39.83654426,-105.108171,Jefferson County R-1,Warder,Moore,Pomona
170,6034 N Malta Street,Aurora,80019,3.0,3.0,"2,499",637041,$483,$79,Monthly,39.80633097,-104.74135013,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
171,5540 W 73rd Avenue,Westminster,80003,3.0,3.0,"2,413",635000,"$2,590",$100,Monthly,39.82891419,-105.0571479,Jefferson County R-1,Thomson,North Arvada,Arvada
172,364 S Kearney Street,Denver,80224,6.0,2.0,"2,607",634900,"$1,970",$0,N/A,39.71030175,-104.91724358,Denver 1,Carson,Hill,George Washington
173,6043 N Nepal Street,Aurora,80019,3.0,3.0,"2,499",630500,$484,$79,Monthly,39.80641378,-104.74084457,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
174,115 Fox Street,Denver,80223,2.0,2.0,894,630000,"$1,520",$0,N/A,39.71875339,-104.99549683,Denver 1,Valverde,Kepner,West
175,7500 E Dartmouth Avenue Unit 26,Denver,80231,3.0,3.0,"2,389",630000,"$2,212",$325,Monthly,39.65931508,-104.9000382,Denver 1,Samuels,Hamilton,Thomas Jefferson
176,1462 Rosemary Street,Denver,80220,3.0,2.0,"1,600",629999,"$1,842",$0,N/A,39.73980994,-104.89967371,Denver 1,Montclair,Hill,George Washington
177,4823 Tejon Street,Denver,80221,3.0,2.0,"1,959",629900,"$2,080",$0,N/A,39.78422379,-105.01154654,Denver 1,Beach Court,Strive Sunnyside,North
178,2779 W 38th Avenue,Denver,80211,3.0,2.0,"2,598",629900,"$2,507",$0,N/A,39.76952528,-105.02257527,Denver 1,Columbian,Strive Sunnyside,North
179,6802 Martin Luther King Boulevard,Denver,80207,3.0,3.0,790,629000,"$1,832",$0,N/A,39.76160225,-104.91022873,Denver 1,Smith Renaissance,DSST: Conservatory Green,Northfield
180,20717 E Brunswick Place,Aurora,80013,2.0,2.0,"1,956",629000,"$5,057",$42,Monthly,39.66492075,-104.74670757,Adams-Arapahoe 28J,Aurora Frontier K-8,Aurora Frontier K-8,Vista Peak
181,2088 S Lincoln Street,Denver,80210,3.0,2.0,"1,450",629000,"$2,383",$0,N/A,39.67872463,-104.98612475,Denver 1,Asbury,Grant,South
182,705 W Nassau Way,Englewood,80110,4.0,3.0,"2,816",629000,"$2,339",$0,N/A,39.64301928,-104.995,Englewood 1,Clayton,Englewood,Englewood
183,1655 S Monaco Parkway,Denver,80224,4.0,3.0,"2,300",626900,"$2,149",$0,N/A,39.68654,-104.91329,Denver 1,McMeen,Hill,Thomas Jefferson
184,1106 W Princeton Place,Englewood,80110,3.0,2.0,"1,661",625000,"$2,051",$0,N/A,39.64063429,-105.00057556,Englewood 1,Clayton,Englewood,Englewood
185,13366 W Warren Circle,Lakewood,80228,4.0,3.0,"2,800",625000,"$3,014",$0,N/A,39.67533028,-105.1490144,Jefferson County R-1,Rooney Ranch,Dunstan,Green Mountain
186,1533 E 22nd Avenue,Denver,80205,3.0,2.0,"1,174",625000,"$2,135",$0,N/A,39.74964686,-104.96867811,Denver 1,Whittier  E-8,Bruce Randolph,East
187,1499 S Iris Street,Lakewood,80232,4.0,4.0,"2,684",625000,"$2,818",$0,N/A,39.68957561,-105.10661536,Jefferson County R-1,Kendrick Lakes,Carmody,Bear Creek
188,18272 E Ida Drive,Centennial,80015,4.0,3.0,"2,406",625000,"$3,282",$195,Quarterly,39.60996575,-104.77429846,Cherry Creek 5,Trails West,Falcon Creek,Grandview
189,11516 W Grand Way,Littleton,80127,2.0,3.0,"1,850",624950,$0,$195,Monthly,39.62566792,-105.11344609,Jefferson County R-1,Peiffer,Carmody,Bear Creek
190,8326 W 71st Place,Arvada,80004,4.0,3.0,"2,306",624950,"$1,869",$0,N/A,39.82616315,-105.08970947,Jefferson County R-1,Peck,Arvada K-8,Arvada
191,5390 S Olathe Circle,Centennial,80015,3.0,4.0,"2,659",624900,"$2,918",$62,Monthly,39.61871,-104.79441,Cherry Creek 5,Indian Ridge,Laredo,Smoky Hill
192,9475 W 37th Avenue,Wheat Ridge,80033,4.0,3.0,"1,335",624500,"$2,659",$0,N/A,39.76770173,-105.10336817,Jefferson County R-1,Wilmore-Davis,Everitt,Wheat Ridge
193,5469 S Shawnee Way,Aurora,80015,3.0,3.0,"2,417",624300,"$3,680",$70,Monthly,39.61703,-104.72962,Cherry Creek 5,Antelope Ridge,Thunder Ridge,Eaglecrest
194,4675 W 63rd Place,Arvada,80003,3.0,4.0,"2,319",624300,"$3,893",$68,Monthly,39.81248,-105.04758,Westminster Public Schools,Other,Other,Westminster
195,21364 E 59th Drive,Aurora,80019,3.0,3.0,"2,187",623500,"$1,935",$79,Monthly,39.80444505,-104.73882457,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
196,21668 E 61st Dr,Aurora,80019,3.0,3.0,"3,217",621000,"$1,935",$79,Monthly,39.80774535,-104.73487384,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
197,21344 E 59th Drive,Aurora,80019,3.0,3.0,"2,132",620500,"$1,935",$79,Monthly,39.80449794,-104.73895905,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
198,1595 S Steele Street,Denver,80210,2.0,2.0,"1,080",620000,"$2,394",$0,N/A,39.68767938,-104.95138905,Denver 1,Cory,Merrill,South
199,1895 S Beech Street,Lakewood,80228,3.0,3.0,"1,846",620000,"$2,776",$0,N/A,39.68235628,-105.153871,Jefferson County R-1,Hutchinson,Dunstan,Green Mountain
200,6110 Johnson Way,Arvada,80004,5.0,3.0,"2,220",619900,"$2,186",$0,N/A,39.80908449,-105.1103137,Jefferson County R-1,Fitzmorris,Arvada K-8,Arvada
201,19949 E 61st Drive,Aurora,80019,5.0,3.0,"2,849",619900,$842,$30,Monthly,39.80866782,-104.75489956,School District 27-J,Second Creek,Otho Stuart,Prairie View
202,1420 S Birch Street,Denver,80222,3.0,2.0,"1,507",619000,"$2,136",$0,N/A,39.69072651,-104.9359761,Denver 1,Ellis,Merrill,South
203,21085 E Quincy Drive,Aurora,80013,3.0,3.0,"1,800",618528,$0,$80,Monthly,39.6381425,-104.74265538,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
204,735 Cole Drive,Lakewood,80401,3.0,3.0,"1,824",616000,"$2,192",$0,N/A,39.72774469,-105.15160525,Jefferson County R-1,Welchester,Bell,Golden
205,10009 W 60th Avenue,Arvada,80004,5.0,3.0,"2,516",615000,"$1,493",$0,N/A,39.80603349,-105.11026173,Jefferson County R-1,Allendale,Drake,Arvada West
206,49 W Alameda Avenue,Denver,80223,3.0,2.0,"1,407",615000,"$2,543",$0,N/A,39.71140352,-104.98884109,Denver 1,Lincoln,Grant,South
207,12033 W Maryland Drive,Lakewood,80228,2.0,2.0,"2,210",615000,"$1,832",$0,N/A,39.69246503,-105.1293446,Jefferson County R-1,Devinny,Dunstan,Green Mountain
208,7900 E Dartmouth Avenue Unit 40,Denver,80231,3.0,3.0,"2,330",615000,"$2,332",$325,Monthly,39.65932504,-104.89792961,Denver 1,Joe Shoemaker,Hamilton,Thomas Jefferson
209,3430 Dexter Street,Denver,80207,4.0,2.0,"1,969",615000,"$2,448",$0,N/A,39.76506341,-104.93287253,Denver 1,Stedman,William (Bill) Roberts,East
210,5472 Tamarac Way,Denver,80238,3.0,3.0,"1,666",610000,"$4,593",$43,Monthly,39.79585905,-104.89484456,Denver 1,Westerly Creek,Denver Discovery,Northfield
211,7943 W 62nd Way,Arvada,80004,4.0,3.0,"3,151",610000,"$3,311",$0,N/A,39.81065087,-105.08500872,Jefferson County R-1,Peck,Arvada K-8,Arvada
212,13937 W Baker Place,Lakewood,80228,3.0,2.0,"1,918",609000,"$2,441",$0,N/A,39.6718946,-105.15588281,Jefferson County R-1,Rooney Ranch,Dunstan,Green Mountain
213,6045 N Nepal Street,Aurora,80019,3.0,3.0,"2,759",609000,$484,$79,Monthly,39.80651182,-104.74091206,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
214,21051 E Quincy Drive,Aurora,80013,3.0,3.0,"1,946",607750,$0,$80,Monthly,39.63813937,-104.74323711,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
215,2807 S Lisbon Way,Aurora,80013,3.0,3.0,"2,130",603000,"$4,906",$42,Monthly,39.66642474,-104.74927549,Adams-Arapahoe 28J,Aurora Frontier K-8,Aurora Frontier K-8,Vista Peak
216,21577 E Mansfield Drive,Aurora,80013,5.0,3.0,"3,950",600000,"$4,634",$302,Semi-Annually,39.64569599,-104.73652858,Cherry Creek 5,Dakota Valley,Sky Vista,Eaglecrest
217,21498 E Mansfield Place,Aurora,80013,3.0,2.0,"2,471",600000,"$3,682",$302,Semi-Annually,39.64452914,-104.73706846,Cherry Creek 5,Dakota Valley,Sky Vista,Eaglecrest
218,3425 S Grape Street,Denver,80222,3.0,2.0,"1,300",600000,"$2,116",$0,N/A,39.65436372,-104.92516971,Denver 1,Bradley,Hamilton,Thomas Jefferson
219,4459 S Xavier Street,Denver,80236,3.0,3.0,"1,752",600000,"$1,737",$0,N/A,39.63650626,-105.05086,Denver 1,Kaiser,Henry,John F. Kennedy
220,3011 S Jericho Way,Aurora,80013,4.0,3.0,"2,310",600000,"$4,681",$41,Monthly,39.66280627,-104.75214654,Adams-Arapahoe 28J,Aurora Frontier K-8,Aurora Frontier K-8,Vista Peak
221,1056 S Pennsylvania Street,Denver,80209,2.0,1.0,"1,019",600000,"$2,513",$0,N/A,39.69749,-104.98128,Denver 1,Lincoln,Grant,South
222,4699 E Bails Place,Denver,80222,6.0,2.0,"2,000",600000,"$2,052",$0,N/A,39.68299504,-104.93252673,Denver 1,Ellis,Merrill,South
223,3695 Elm Street,Denver,80207,3.0,2.0,"1,316",600000,"$1,684",$0,N/A,39.76822871,-104.92964718,Denver 1,Smith Renaissance,McAuliffe International,East
224,2486 Ingalls Street,Edgewater,80214,3.0,2.0,"1,239",600000,"$2,481",$0,N/A,39.75272519,-105.0634886,Jefferson County R-1,Edgewater,Jefferson,Jefferson
225,2632 N Marion Street,Denver,80205,3.0,2.0,"1,429",600000,"$2,809",$0,N/A,39.7552015,-104.97183001,Denver 1,Whittier  E-8,Wyatt,Manual
226,75 S Knox Court,Denver,80219,3.0,3.0,"1,552",599999,"$1,337",$0,N/A,39.71512197,-105.03279954,Denver 1,Newlon,Compass Academy,West
227,5295 S Cody Street,Littleton,80123,2.0,2.0,"1,474",599999,"$1,816",$795,Annually,39.61908768,-105.09446536,Jefferson County R-1,Governor's Ranch,Ken Caryl,Columbine
228,9135 W 5th Place,Lakewood,80226,6.0,3.0,"1,456",599999,"$2,400",$0,N/A,39.72420165,-105.09970168,Jefferson County R-1,South Lakewood,Creighton,Lakewood
229,6462 N Ceylon Court,Denver,80249,3.0,3.0,"2,041",599990,$0,$33,Monthly,39.81470047,-104.76647611,School District 27-J,Second Creek,Otho Stuart,Prairie View
230,970 S Chase Street,Lakewood,80226,3.0,2.0,"1,506",599900,"$1,544",$0,N/A,39.69926163,-105.05927527,Jefferson County R-1,Deane,Alameda Int'l,Alameda Int'l
231,11250 W Aqueduct Drive,Littleton,80127,3.0,3.0,"1,543",599900,"$2,006",$116,Quarterly,39.61744124,-105.12530354,Jefferson County R-1,Westridge,Summit Ridge,Dakota Ridge
232,1789 S Quail Street,Lakewood,80232,4.0,3.0,"2,508",599900,"$2,244",$0,N/A,39.68404007,-105.12463625,Jefferson County R-1,Kendrick Lakes,Carmody,Bear Creek
233,3883 E Montana Place,Denver,80210,3.0,1.0,"1,105",599900,"$2,014",$0,N/A,39.68427577,-104.94324319,Denver 1,Cory,Merrill,South
234,935 S Sheridan Boulevard,Lakewood,80226,4.0,2.0,"1,330",599900,"$2,429",$0,N/A,39.69902163,-105.05383095,Jefferson County R-1,Deane,Alameda Int'l,Alameda Int'l
235,3815 Independence Court,Wheat Ridge,80033,3.0,2.0,"1,980",599000,"$3,007",$0,N/A,39.76988259,-105.1057699,Jefferson County R-1,Wilmore-Davis,Everitt,Wheat Ridge
236,664 S Galena Street,Denver,80247,4.0,3.0,"2,253",599000,"$1,652",$50,Annually,39.70291914,-104.86931227,Denver 1,Place,Place,George Washington
237,5433 S Quintero Way,Centennial,80015,4.0,3.0,"2,564",599000,"$3,473",$62,Annually,39.61730736,-104.78823705,Cherry Creek 5,Trails West,Falcon Creek,Grandview
238,1075 Jasmine Street,Denver,80220,2.0,1.0,"1,382",599000,"$2,429",$0,N/A,39.73218675,-104.91921644,Denver 1,Palmer,Hill,George Washington
239,6487 Independence Way,Arvada,80004,5.0,3.0,"1,719",599000,"$1,704",$0,N/A,39.81520533,-105.10738368,Jefferson County R-1,Fitzmorris,Arvada K-8,Arvada
240,2633 E 30th Avenue,Denver,80205,3.0,1.0,"1,280",599000,"$2,356",$0,N/A,39.75966132,-104.95526449,Denver 1,Columbine,Bruce Randolph,Manual
241,9772 E 62nd Drive,Denver,80238,2.0,3.0,"1,563",599000,$0,$43,Monthly,39.8078907,-104.8760116,Denver 1,Inspire,DSST: Byers Middle School,Northfield
242,6115 Ames Street,Arvada,80003,4.0,2.0,"2,500",599000,"$2,471",$0,N/A,39.80816751,-105.05482793,Jefferson County R-1,Swanson,North Arvada,Arvada
243,8115 E Bethany Place,Denver,80231,5.0,3.0,"2,485",599000,"$2,332",$0,N/A,39.66643,-104.89489,Denver 1,Other,Hamilton,Thomas Jefferson
244,3241 Champa Street,Denver,80205,3.0,3.0,"1,464",599000,"$2,789",$0,N/A,39.76228889,-104.97412847,Denver 1,Gilpin,Bruce Randolph,Manual
245,8115 E Bethany Place,Denver,80231,5.0,3.0,"2,485",599000,"$2,332",$0,N/A,39.66642497,-104.89491614,Denver 1,Joe Shoemaker,Hamilton,Thomas Jefferson
246,2542 N Lafayette Street,Denver,80205,2.0,1.0,"1,126",599000,"$2,486",$0,N/A,39.75407175,-104.97051042,Denver 1,Whittier  E-8,Wyatt,Manual
247,1990 S Fox Street,Denver,80223,4.0,2.0,"2,129",598000,"$2,079",$0,N/A,39.68046263,-104.99460156,Denver 1,McKinley-Thatcher,Grant,South
248,11497 W Grand Way,Littleton,80127,2.0,3.0,"1,850",596989,$0,$195,Monthly,39.62584791,-105.12450409,Jefferson County R-1,Peiffer,Carmody,Bear Creek
249,5652 Jellison Street,Arvada,80002,4.0,2.0,"2,178",595000,"$2,866",$0,N/A,39.79982771,-105.10791355,Jefferson County R-1,Arvada K-8,Arvada K-8,Arvada
250,6921 E Arkansas Avenue,Denver,80224,4.0,3.0,"1,758",595000,"$1,503",$0,N/A,39.69122694,-104.90761211,Denver 1,McMeen,Hill,George Washington
251,760 W Asbury Avenue,Denver,80223,3.0,2.0,"1,344",595000,"$2,444",$0,N/A,39.68011925,-104.99672073,Denver 1,McKinley-Thatcher,Grant,South
252,1416 Fillmore Street,Denver,80206,2.0,1.0,"1,467",595000,"$2,250",$0,N/A,39.73868197,-104.95262736,Denver 1,Teller,Morey,East
253,5975 Robb Court,Arvada,80004,4.0,3.0,"2,393",595000,"$3,005",$0,N/A,39.80445311,-105.125254,Jefferson County R-1,Vanderhoof,Drake,Arvada West
254,7168 Ammons Street,Arvada,80004,3.0,2.0,"2,419",595000,"$1,929",$0,N/A,39.82654585,-105.0864551,Jefferson County R-1,Peck,Arvada K-8,Arvada
256,5103 S Parfet Way,Littleton,80127,3.0,3.0,"1,720",595000,"$2,987",$39,Monthly,39.62364406,-105.12090425,Jefferson County R-1,West Ridge,Summit Ridge,Dakota Ridge
257,5957 N Flower Street,Arvada,80004,3.0,2.0,"1,413",595000,"$2,248",$0,N/A,39.80514598,-105.09954273,Jefferson County R-1,Fitzmorris,Arvada K-8,Arvada
258,18514 E Bethany Place,Aurora,80013,4.0,4.0,"3,100",595000,"$2,316",$310,Annually,39.66142144,-104.7711812,Cherry Creek 5,Arrowhead,Horizon,Smoky Hill
259,3640 Kearney Street,Denver,80207,3.0,3.0,"1,610",595000,"$1,592",$0,N/A,39.76844481,-104.91720199,Denver 1,Smith Renaissance,McAuliffe International,East
260,7721 Garrison Court,Arvada,80005,4.0,3.0,"2,476",595000,"$2,856",$0,N/A,39.83620967,-105.1026879,Jefferson County R-1,Warder,Moore,Pomona
261,21061 E Quincy Drive,Aurora,80013,2.0,3.0,"1,807",592881,$0,$80,Monthly,39.63795078,-104.74319956,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
262,4705 Newton Street,Denver,80211,3.0,2.0,980,592000,"$2,408",$0,N/A,39.78237427,-105.037276,Denver 1,Centennial,Strive Sunnyside,North
263,1617 S Pagosa Court,Aurora,80017,3.0,4.0,"3,289",590000,"$3,329",$420,Annually,39.68974235,-104.78553071,Adams-Arapahoe 28J,Arkansas,Mrachek,Rangeview
264,1057 S Sheridan Boulevard,Lakewood,80226,6.0,2.0,"2,267",590000,"$2,306",$0,N/A,39.6980059,-105.05381029,Jefferson County R-1,Deane,Alameda Int'l,Alameda Int'l
265,5229 S Parfet Way,Littleton,80127,4.0,3.0,"1,976",590000,"$2,966",$39,Monthly,39.62178706,-105.12230554,Jefferson County R-1,West Ridge,Summit Ridge,Dakota Ridge
266,1690 Spruce Street,Denver,80220,4.0,2.0,"1,672",590000,"$2,050",$0,N/A,39.74363597,-104.89731887,Denver 1,Ashley,Hill,George Washington
267,3511 N Steele Street,Denver,80205,3.0,2.0,"1,523",590000,"$2,355",$0,N/A,39.7659835,-104.95025745,Denver 1,Harrington,McAuliffe International,Manual
268,12346 W Ohio Circle,Lakewood,80228,4.0,2.0,"1,796",589000,"$2,560",$0,N/A,39.69827908,-105.13645698,Jefferson County R-1,Green Mountain,Dunstan,Green Mountain
269,5179 E 63rd Place,Denver,80022,4.0,3.0,"1,852",589000,$0,$135,Monthly,39.81256635,-104.92827128,Adams 14,Kemp,Kearney,Adams City
270,7138 Xenon Court,Arvada,80004,3.0,2.0,"2,333",589000,"$2,947",$0,N/A,39.82595924,-105.14018981,Jefferson County R-1,Stott,Oberon,Arvada West
271,3379 W Wagon Trail Drive,Englewood,80110,5.0,2.0,"2,002",589000,"$2,127",$0,N/A,39.63121434,-105.0336191,Denver 1,Kaiser,Strive Federal,John F. Kennedy
272,5041 N Quemoy Court,Aurora,80018,2.0,2.0,"2,542",588630,"$8,209",$195,Monthly,39.78695119,-104.73093572,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
273,3818 S Helena Way,Aurora,80013,3.0,3.0,"2,513",588100,"$1,993",$30,Annually,39.64717,-104.80745,Cherry Creek 5,Mission Viejo,Laredo,Smoky Hill
274,2330 S Quitman Street,Denver,80219,6.0,2.0,"2,143",588000,"$1,821",$0,N/A,39.67440338,-105.04085998,Denver 1,Doull,DSST: College View,John F. Kennedy
275,9764 E 62nd,Denver,80238,3.0,3.0,"1,461",587000,$1,$43,Monthly,39.80978292,-104.87654598,Denver 1,Bill Roberts E-8,Bill Roberts E-8,Northfield
276,6921 E Vassar Avenue,Denver,80224,5.0,3.0,"2,527",585000,"$1,795",$0,N/A,39.66985938,-104.90671409,Denver 1,Joe Shoemaker,Hamilton,Thomas Jefferson
277,1633 S Yukon Street,Lakewood,80232,3.0,3.0,"2,075",585000,"$1,590",$0,N/A,39.68732999,-105.08283373,Jefferson County R-1,Patterson,Alameda Int'l,Alameda Int'l
278,6260 Johnson Way,Arvada,80004,4.0,3.0,"2,005",585000,"$2,370",$0,N/A,39.81075619,-105.11223824,Jefferson County R-1,Fitzmorris,Arvada K-8,Arvada
279,8945 Cole Drive,Arvada,80004,4.0,3.0,"2,736",585000,"$3,077",$0,N/A,39.81024687,-105.09696393,Jefferson County R-1,Fitzmorris,North Arvada,Arvada
280,5409 Jellison Street,Arvada,80002,4.0,3.0,"2,231",584900,"$2,853",$0,N/A,39.79562382,-105.1069316,Jefferson County R-1,Arvada K-8,Arvada K-8,Arvada
281,4835 Vallejo Street,Denver,80221,3.0,2.0,"1,597",584500,"$1,735",$0,N/A,39.7845252,-105.01382096,Denver 1,Beach Court,Skinner,North
282,3140 Sheridan Boulevard,Denver,80214,5.0,3.0,"2,555",584000,"$2,433",$0,N/A,39.76194317,-105.05301756,Denver 1,Edison,Denver Montessori,North
283,22193 E Stanford Circle,Aurora,80015,3.0,2.0,"1,740",583639,$0,$63,Monthly,39.63439308,-104.72992684,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
284,10347 W Bellewood Place,Littleton,80127,4.0,3.0,"2,601",582500,"$3,064",$0,N/A,39.62503422,-105.11374857,Jefferson County R-1,Peiffer,Carmody,Bear Creek
285,19220 E Pacific Place,Aurora,80013,3.0,3.0,"2,044",582000,"$5,163",$100,Monthly,39.6785129,-104.76350615,Adams-Arapahoe 28J,Side Creek,Mrachek,Rangeview
286,5263 S Zeno Way,Centennial,80015,4.0,4.0,"2,521",580000,"$2,939",$65,Annually,39.62007781,-104.77379902,Cherry Creek 5,Meadow Point,Falcon Creek,Grandview
287,21838 E Powers Drive,Centennial,80015,4.0,4.0,"2,439",579900,"$3,427",$37,Monthly,39.61388048,-104.73406245,Cherry Creek 5,Antelope Ridge,Thunder Ridge,Eaglecrest
288,3170 W Radcliff Avenue,Englewood,80110,5.0,2.0,"2,470",579000,"$2,645",$0,N/A,39.63695393,-105.02761751,Sheridan 2,Sheridan,Sheridan,Sheridan
289,2857 S Zenobia Street,Denver,80236,5.0,2.0,"2,083",579000,"$2,038",$0,N/A,39.663914,-105.051454,Denver 1,Doull,Henry,John F. Kennedy
290,21706 E Stanford Circle,Aurora,80015,3.0,3.0,"1,831",578531,"$1,983",$63,Monthly,39.63449894,-104.73493168,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
291,22031 E Stanford Circle,Aurora,80015,3.0,2.0,"2,082",577950,$0,$63,Monthly,39.63496585,-104.73114001,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
292,2760 S Perry Street,Denver,80236,4.0,2.0,"2,443",575000,"$2,098",$0,N/A,39.66553,-105.03976,Denver 1,Gust,Strive Federal,John F. Kennedy
293,2760 S Perry Street,Denver,80236,4.0,2.0,"2,443",575000,"$2,098",$0,N/A,39.66552786,-105.039767,Denver 1,Gust,Strive Federal,John F. Kennedy
294,670 S Raritan Street,Denver,80223,4.0,2.0,"1,739",575000,"$1,822",$0,N/A,39.70414198,-105.00834764,Denver 1,Goldrick,Grant,Abraham Lincoln
295,17705 E Ida Avenue,Centennial,80015,5.0,4.0,"3,146",575000,"$3,376",$0,N/A,39.61110542,-104.78520336,Cherry Creek 5,Trails West,Falcon Creek,Grandview
296,11556 W 38th Place,Wheat Ridge,80033,4.0,2.0,"1,789",575000,"$2,615",$0,N/A,39.76981145,-105.12774281,Jefferson County R-1,Prospect Valley,Everitt,Wheat Ridge
297,6654 Nelson Street,Arvada,80004,5.0,3.0,"2,292",575000,"$2,505",$0,N/A,39.81779409,-105.11537906,Jefferson County R-1,Campbell,Oberon,Arvada West
298,6172 Carr Street,Arvada,80004,4.0,3.0,"2,422",575000,"$2,273",$0,N/A,39.80845074,-105.09047846,Jefferson County R-1,Fitzmorris,Arvada K-8,Arvada
299,4822 S Grant Street,Englewood,80113,4.0,3.0,"1,828",575000,"$2,019",$0,N/A,39.62908794,-104.98415943,Englewood 1,Cherrelyn,Englewood,Englewood
300,1494 S Hoyt Street,Lakewood,80232,3.0,3.0,"1,731",575000,"$2,547",$0,N/A,39.68956878,-105.10510076,Jefferson County R-1,Kendrick Lakes,Carmody,Bear Creek
301,1553 S Yank Street,Lakewood,80228,3.0,3.0,"2,194",575000,"$2,741",$0,N/A,39.68864,-105.14455,Jefferson County R-1,Devinny,Dunstan,Green Mountain
302,4954 S Evanston Street,Aurora,80015,4.0,3.0,"2,138",574900,"$2,059",$35,Annually,39.62695951,-104.81400541,Cherry Creek 5,Sagebrush,Laredo,Smoky Hill
303,6461 N Ceylon Street,Denver,80249,4.0,3.0,"1,949",574710,"$6,000",$39,Monthly,39.81495702,-104.76479339,School District 27-J,Second Creek,Otho Stuart,Prairie View
304,21081 E Quincy Drive,Aurora,80013,3.0,3.0,"1,800",574281,$0,$80,Monthly,39.63812804,-104.74295474,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
305,2787 S Waco Way,Aurora,80013,3.0,4.0,"3,370",574000,"$2,606",$45,Monthly,39.66501697,-104.77748306,Adams-Arapahoe 28J,Dalton,Columbia,Rangeview
