,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,district,elementarySchool,middleSchool,highSchool
31,1995 W 67th Place,Denver,80221,3.0,3.0,"2,331",740300,"$6,229",$72,Monthly,39.81911,-105.01126,Mapleton R-1,Other,Other,SkyView Academy
32,3050 S Roslyn Street,Denver,80231,4.0,3.0,"3,525",740000,"$1,493",$0,N/A,39.66192331,-104.90042725,Denver 1,Joe Shoemaker,Hamilton,Thomas Jefferson
33,968 N Corona Street,Denver,80218,4.0,2.0,"1,850",739000,"$1,104",$0,N/A,39.731553,-104.9737607,Denver 1,Dora Moore,Morey,East
34,3267 S Holly Street,Denver,80222,4.0,3.0,"2,112",735000,"$1,892",$0,N/A,39.65713016,-104.92336236,Denver 1,Bradley,Hamilton,Thomas Jefferson
35,717 E 23rd Avenue,Denver,80205,4.0,2.0,"2,049",735000,"$2,660",$0,N/A,39.75089533,-104.97764481,Denver 1,Whittier  E-8,Whittier  E-8,Manual
36,3900 Vallejo Street,Denver,80211,2.0,2.0,"2,088",735000,"$2,833",$0,N/A,39.77066732,-105.0133029,Denver 1,Bryant-Webster,Skinner,North
37,3560 Chase Street,Wheat Ridge,80212,3.0,2.0,"1,578",730000,"$3,439",$0,N/A,39.76734144,-105.05701037,Jefferson County R-1,Stevens,Everitt,Wheat Ridge
38,1525 Holly Street,Denver,80220,3.0,2.0,"1,921",730000,"$2,633",$0,N/A,39.74073427,-104.922587,Denver 1,Park Hill,McAuliffe International,East
39,105 S Newland Street,Lakewood,80226,3.0,2.0,624,729900,"$2,660",$0,N/A,39.71457462,-105.06996104,Jefferson County R-1,Stein,Alameda Int'l,Alameda Int'l
40,3547 S Ivanhoe Street,Denver,80237,5.0,4.0,"3,269",729819,"$2,919",$0,N/A,39.65166941,-104.92211894,Denver 1,Southmoor,Hamilton,Thomas Jefferson
41,125 E Florida Avenue,Denver,80210,3.0,2.0,"1,342",729000,"$1,971",$0,N/A,39.68954813,-104.98563837,Denver 1,McKinley-Thatcher,Grant,South
42,3320 Nelson Street,Wheat Ridge,80033,3.0,3.0,"2,121",729000,"$2,344",$0,N/A,39.76368123,-105.11756206,Jefferson County R-1,Prospect Valley,Everitt,Wheat Ridge
43,141 W 1st Avenue,Denver,80223,3.0,2.0,"1,928",725000,"$3,183",$0,N/A,39.71863368,-104.99030033,Denver 1,Valverde,Kepner,West
44,10400 W 33rd Place,Wheat Ridge,80033,3.0,3.0,"2,037",725000,"$2,321",$0,N/A,39.76281024,-105.11493779,Jefferson County R-1,Prospect Valley,Everitt,Wheat Ridge
45,310 Elati Street,Denver,80223,2.0,2.0,"1,476",725000,"$2,957",$0,N/A,39.7212025,-104.99372814,Denver 1,Valverde,West Leadership,West
46,244 W Irvington Place,Denver,80223,4.0,3.0,"1,658",725000,"$2,809",$0,N/A,39.71731001,-104.99180075,Denver 1,Valverde,Kepner,West
47,4874 S Routt Street,Littleton,80127,4.0,4.0,"3,314",724900,"$3,555",$0,N/A,39.62825457,-105.12778283,Jefferson County R-1,Peiffer,Carmody,Bear Creek
48,4378 S Malaya Way,Aurora,80013,4.0,4.0,"3,192",722329,$0,$80,Monthly,39.6366318,-104.74256116,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
49,920 S Emporia Street,Denver,80247,4.0,4.0,"3,186",720000,"$3,317",$0,N/A,39.69945853,-104.87400415,Denver 1,Denver Green,Denver Green,George Washington
50,995 S Braun Drive,Lakewood,80228,4.0,3.0,"1,937",719900,"$1,798",$0,N/A,39.69806541,-105.15096275,Jefferson County R-1,Foothills,Dunstan,Green Mountain
51,1823 S Downing Street,Denver,80210,4.0,2.0,"1,650",719900,"$2,841",$0,N/A,39.68343167,-104.97380655,Denver 1,Asbury,Merrill,South
52,17004 E Dorado Drive,Centennial,80015,5.0,4.0,"3,292",719900,"$3,921",$113,Monthly,39.6135,-104.79002,Cherry Creek 5,Trails West,Falcon Creek,Grandview
53,1150 S Forest Street,Denver,80246,4.0,2.0,"1,588",719000,"$1,866",$0,N/A,39.69535085,-104.92550533,Denver 1,Ellis,Merrill,Thomas Jefferson
54,4430 S Perth Court,Aurora,80015,5.0,3.0,"2,681",718064,$0,$357,Semi-Annually,39.63546476,-104.73577996,Cherry Creek 5,Aspen Crossing,Sky Vista,Eaglecrest
55,4367 S Malaya Way,Aurora,80013,4.0,4.0,"3,181",716671,$0,$80,Monthly,39.63691031,-104.74308793,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
56,22120 E Tufts Circle,Aurora,80015,3.0,3.0,"2,498",716082,$0,$63,Monthly,39.63233445,-104.73097746,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
57,3121 Fulton Street,Denver,80238,3.0,3.0,"1,726",715000,"$5,186",$43,Monthly,39.76146172,-104.87073143,Denver 1,Westerly Creek,DSST: Conservatory Green,Northfield
58,7220 E 12th Avenue,Denver,80220,4.0,3.0,"2,037",715000,"$2,830",$0,N/A,39.73541315,-104.90388336,Denver 1,Montclair,Hill,George Washington
