schoolid,schoolName,lowGrade,highGrade,schoolLevel,rankMovement,hasBoundary,street,city,state,zip,zip4,latitude,longitude,countyName,districtName,index,numberOfStudents,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofWhiteStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,pupilTeacherRatio,year
80480000964,D'Evelyn Junior/Senior High School,6,12,High,5.0,True,10359 W Nassau Avenue,Denver,CO,80235,1400,39.6435,-105.1145,Jefferson County,Jefferson County School District No. R-1,165,1035.0,5.41,1.16,10.72,11.4,72.17,0.29,0.0,4.25,20.9,2020.0
80480000711,Devinny Elementary School,K,5,Elementary,-3.0,True,1725 South Wright Street,Lakewood,CO,80228,3961,39.6859,-105.1397,Jefferson County,Jefferson County School District No. R-1,166,475.0,13.68,0.21,2.95,12.0,77.68,0.21,0.0,6.95,19.1,2020.0
80336000385,Dora Moore Ece-8 School,PK,8,Elementary,2.0,True,846 Corona Street,Denver,CO,80218,3411,39.73,-104.9734,Denver County,School District No. 1,167,352.0,64.2,17.9,2.56,40.91,29.26,1.7,0.28,7.39,16.5,2020.0
80249000111,Douglass Elementary School,PK,5,Elementary,-52.0,True,840  75th Street,Boulder,CO,80303,3101,40.0026,-105.1777,Boulder County,Boulder Valley School District No. Re2,168,400.0,5.0,1.0,2.0,6.0,83.0,0.75,0.0,7.25,15.6,2020.0
80336000336,Doull Elementary School,PK,5,Elementary,-165.0,True,2520 South Utica Street,Denver,CO,80219,5639,39.6732,-105.0443,Denver County,School District No. 1,169,416.0,90.62,1.44,2.88,84.86,8.41,0.24,0.0,2.16,14.4,2020.0
80336001406,Dr. Martin Luther King Junior Early College,6,12,High,-21.0,True,19535 East 46th Avenue,Denver,CO,80249,6637,39.781,-104.7602,Denver County,School District No. 1,170,1279.0,78.66,25.25,6.8,59.34,4.07,0.23,1.64,2.66,17.6,2020.0
80480000712,Drake Junior High School,6,8,Middle,-6.0,True,12550 West 52nd Avenue,Arvada,CO,80002,1804,39.79,-105.1411,Jefferson County,Jefferson County School District No. R-1,171,920.0,22.39,1.2,1.96,13.7,79.57,0.43,0.0,3.15,20.3,2020.0
80291000190,Dry Creek Elementary School,PK,5,Elementary,-123.0,True,7686 East Hinsdale Avenue,Englewood,CO,80112,1714,39.5815,-104.8998,Arapahoe County,Cherry Creek School District No. 5,172,406.0,13.79,4.43,9.11,15.52,61.82,0.25,0.25,8.62,17.5,2020.0
80480000713,Dunstan Middle School,6,8,Middle,-67.0,True,1855 South Wright Street,Lakewood,CO,80228,3963,39.684,-105.1385,Jefferson County,Jefferson County School District No. R-1,173,941.0,29.54,2.66,2.66,20.09,70.03,0.53,0.0,4.04,19.3,2020.0
80195000013,Dupont Elementary School,K,5,Elementary,-18.0,True,7970 Kimberly Street,Commerce City,CO,80022,1048,39.8413,-104.9174,Adams County,School District N. 14,174,477.0,85.32,1.47,0.42,87.21,9.22,0.63,0.0,1.05,16.3,2020.0
80480000714,Dutch Creek Elementary School,PK,5,Elementary,113.0,True,7304 West Roxbury Place,Littleton,CO,80128,4700,39.5873,-105.0782,Jefferson County,Jefferson County School District No. R-1,175,284.0,36.97,0.35,1.41,17.61,74.65,1.41,0.0,4.58,15.5,2020.0
